Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533762000.0 526.0 20 44 0 NA NA 113 159 0 NA NA 2077 183 145 NA NA 7409 302 217 NA NA
1533762000.0 527.0 20 46 0 NA NA 113 160 0 NA NA 986 201 138 NA NA 1124 300 225 NA NA
1533762000.0 528.0 20 42 0 NA NA 113 159 0 NA NA 676 180 132 NA NA 1131 288 218 NA NA
1533762000.0 529.0 20 39 0 NA NA 113 153 0 NA NA 2074 203 141 NA NA 7404 355 219 NA NA
1533762000.0 530.0 20 45 0 NA NA 113 159 0 NA NA 1008 183 129 NA NA 1260 294 198 NA NA
1533762000.0 531.0 65 0 NA NA NA 255 0 NA NA NA 175 132 NA NA NA 268 230 NA NA NA
1533762000.0 534.0 39 0 NA NA NA 164 0 NA NA NA 220 130 NA NA NA 480 211 NA NA NA
1533762000.0 535.0 70 0 NA NA NA 203 0 NA NA NA 3744 138 NA NA NA 4644 222 NA NA NA
1533762000.0 541.0 54 0 NA NA NA 160 0 NA NA NA 200 132 NA NA NA 291 205 NA NA NA
1533762000.0 545.0 53 0 NA NA NA 160 0 NA NA NA 217 127 NA NA NA 348 211 NA NA NA
1533762000.0 552.0 28 39 0 NA NA 113 159 0 NA NA 985 197 147 NA NA 1407 322 224 NA NA
1533762000.0 554.0 20 45 0 NA NA 113 159 0 NA NA 1776 193 137 NA NA 1974 333 227 NA NA
1533762000.0 556.0 20 39 0 NA NA 113 159 0 NA NA 386 190 141 NA NA 572 330 236 NA NA
1533762000.0 560.0 42 0 NA NA NA 147 0 NA NA NA 181 151 NA NA NA 292 235 NA NA NA
1533762000.0 561.0 44 0 NA NA NA 152 0 NA NA NA 172 132 NA NA NA 238 212 NA NA NA
