Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 1.0 64 87 155 NA NA NA 195 291 383 NA NA NA 1159 335 905 NA NA NA 1307 427 1120 NA NA NA
1533420000.0 10.0 NA 106 241 0 NA NA NA 262 471 0 NA NA NA 1869 2659 506 NA NA NA 2058 2888 562 NA NA
1533420000.0 10001.0 NA 108 298 0 80 NA NA 320 581 0 204 NA NA 493 1701 1311 256 NA NA 677 2071 1400 365 NA
1533420000.0 10002.0 NA 106 307 0 80 NA NA 320 581 0 204 NA NA 504 1640 1291 257 NA NA 696 1845 1382 365 NA
1533420000.0 10003.0 NA 116 297 0 74 NA NA 320 581 0 204 NA NA 492 1706 1259 251 NA NA 695 1956 1369 409 NA
1533420000.0 10004.0 NA 106 304 0 82 NA NA 274 581 0 204 NA NA 480 1692 1289 275 NA NA 769 2156 1376 431 NA
1533420000.0 10005.0 NA 109 298 0 80 NA NA 275 581 0 204 NA NA 461 1712 1247 264 NA NA 607 1993 1354 374 NA
1533420000.0 10023.0 NA 110 308 0 80 NA NA 320 581 0 204 NA NA 474 1626 1305 262 NA NA 669 1863 1390 368 NA
1533420000.0 10024.0 NA 118 306 0 78 NA NA 320 581 0 204 NA NA 539 1878 1278 287 NA NA 779 2097 1348 455 NA
1533420000.0 10024.5 NA 117 134 0 NA NA NA 320 314 0 NA NA NA 559 506 131 NA NA NA 686 723 201 NA NA
1533420000.0 10025.0 NA 109 316 0 82 NA NA 320 581 0 204 NA NA 532 1680 1235 266 NA NA 727 1892 1345 393 NA
1533420000.0 10042.0 NA 109 314 0 79 NA NA 320 581 0 204 NA NA 532 1724 1266 282 NA NA 760 1966 1343 402 NA
1533420000.0 101.0 93 NA NA NA NA NA 255 NA NA NA NA NA 780 NA NA NA NA NA 857 NA NA NA NA NA
1533420000.0 1010.0 NA 32 38 0 NA NA NA 149 161 0 NA NA NA 124 145 117 NA NA NA 227 246 170 NA NA
1533420000.0 102.0 94 NA NA NA NA NA 254 NA NA NA NA NA 677 NA NA NA NA NA 771 NA NA NA NA NA
1533420000.0 1020.0 NA 74 33 0 64 NA NA 200 132 0 200 NA NA 263 101 84 256 NA NA 394 255 150 362 NA
1533420000.0 103.0 47 0 0 NA NA NA 170 0 0 NA NA NA 403 133 1028 NA NA NA 548 200 1384 NA NA NA
1533420000.0 1030.0 NA 141 45 0 0 NA NA 348 160 0 0 NA NA 7819 253 76 75 NA NA 8094 337 153 125 NA
