Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 112.0 67 77 229 NA NA NA NA 195 248 471 NA NA NA NA 1783 646 2146 NA NA NA NA 1966 929 2837 NA NA NA NA
1533675600.0 113.0 68 84 227 NA NA NA NA 195 292 471 NA NA NA NA 1830 598 2048 NA NA NA NA 2025 779 2346 NA NA NA NA
1533675600.0 114.0 66 79 232 NA NA NA NA 195 291 471 NA NA NA NA 2080 604 2085 NA NA NA NA 2249 897 2432 NA NA NA NA
1533675600.0 115.0 65 79 229 NA NA NA NA 195 248 471 NA NA NA NA 2021 535 1799 NA NA NA NA 2209 784 2059 NA NA NA NA
1533675600.0 116.0 65 82 232 NA NA NA NA 207 247 471 NA NA NA NA 2341 593 1802 NA NA NA NA 2523 807 2060 NA NA NA NA
1533675600.0 11623.0 55 110 304 0 77 NA NA 180 268 581 0 205 NA NA 942 1083 2456 1696 379 NA NA 1247 1635 2855 1806 599 NA NA
1533675600.0 11625.0 57 110 302 0 74 NA NA 180 269 581 0 205 NA NA 2808 1104 2699 1851 333 NA NA 3190 1635 3134 1956 522 NA NA
1533675600.0 11642.0 58 106 300 0 78 NA NA 180 313 581 0 205 NA NA 1016 898 2492 1899 385 NA NA 1236 1324 2856 2046 599 NA NA
1533675600.0 117.0 68 78 241 NA NA NA NA 207 292 471 NA NA NA NA 3002 684 2237 NA NA NA NA 3247 1007 2674 NA NA NA NA
1533675600.0 118.0 66 80 238 NA NA NA NA 207 292 471 NA NA NA NA 2943 637 2034 NA NA NA NA 3176 869 2372 NA NA NA NA
1533675600.0 119.0 62 86 236 NA NA NA NA 195 292 471 NA NA NA NA 2613 598 1713 NA NA NA NA 3217 816 2128 NA NA NA NA
1533675600.0 120.0 63 83 238 NA NA NA NA 184 246 471 NA NA NA NA 726 575 1731 NA NA NA NA 1008 780 1994 NA NA NA NA
1533675600.0 122.0 60 76 226 NA NA NA NA 196 292 471 NA NA NA NA 515 353 1529 NA NA NA NA 661 509 1763 NA NA NA NA
1533675600.0 123.1 202 NA NA NA NA NA NA 427 NA NA NA NA NA NA 1133 NA NA NA NA NA NA 1341 NA NA NA NA NA NA
1533675600.0 123.2 198 NA NA NA NA NA NA 427 NA NA NA NA NA NA 1288 NA NA NA NA NA NA 1710 NA NA NA NA NA NA
1533675600.0 123.3 178 NA NA NA NA NA NA 426 NA NA NA NA NA NA 882 NA NA NA NA NA NA 1137 NA NA NA NA NA NA
1533675600.0 124.1 197 NA NA NA NA NA NA 426 NA NA NA NA NA NA 900 NA NA NA NA NA NA 1133 NA NA NA NA NA NA
1533675600.0 124.2 201 NA NA NA NA NA NA 428 NA NA NA NA NA NA 1161 NA NA NA NA NA NA 1701 NA NA NA NA NA NA
1533675600.0 124.4 184 NA NA NA NA NA NA 426 NA NA NA NA NA NA 958 NA NA NA NA NA NA 1192 NA NA NA NA NA NA
1533675600.0 124.5 184 NA NA NA NA NA NA 426 NA NA NA NA NA NA 965 NA NA NA NA NA NA 1191 NA NA NA NA NA NA
1533675600.0 124.6 174 NA NA NA NA NA NA 426 NA NA NA NA NA NA 914 NA NA NA NA NA NA 1349 NA NA NA NA NA NA
1533675600.0 125.0 68 85 235 NA NA NA NA 207 248 471 NA NA NA NA 1850 462 1420 NA NA NA NA 1984 589 1597 NA NA NA NA
1533675600.0 126.0 57 74 227 NA NA NA NA 184 292 471 NA NA NA NA 809 473 1584 NA NA NA NA 995 626 1824 NA NA NA NA
1533675600.0 127.0 56 79 231 NA NA NA NA 184 292 471 NA NA NA NA 939 417 1528 NA NA NA NA 1075 559 1789 NA NA NA NA
1533675600.0 128.0 57 74 221 NA NA NA NA 176 246 471 NA NA NA NA 441 449 1584 NA NA NA NA 597 620 1806 NA NA NA NA
1533675600.0 129.0 55 78 222 NA NA NA NA 176 291 471 NA NA NA NA 456 499 1597 NA NA NA NA 594 687 1860 NA NA NA NA
1533675600.0 130.0 62 84 229 NA NA NA NA 184 292 471 NA NA NA NA 531 392 1499 NA NA NA NA 628 512 1680 NA NA NA NA
1533675600.0 131.0 56 83 231 NA NA NA NA 184 291 471 NA NA NA NA 870 413 1345 NA NA NA NA 1016 509 1555 NA NA NA NA
1533675600.0 132.0 65 87 233 NA NA NA NA 192 292 471 NA NA NA NA 2117 390 1410 NA NA NA NA 2364 474 1595 NA NA NA NA
1533675600.0 1325.1 NA 101 153 0 NA NA NA NA 273 312 0 NA NA NA NA 596 819 289 NA NA NA NA 787 1001 337 NA NA NA
1533675600.0 1325.3 NA 100 153 0 NA NA NA NA 318 311 0 NA NA NA NA 581 832 287 NA NA NA NA 760 1109 339 NA NA NA
1533675600.0 1325.5 NA 146 0 NA NA NA NA NA 317 0 NA NA NA NA NA 3116 190 NA NA NA NA NA 3866 270 NA NA NA NA
1533675600.0 1325.51 NA 145 0 NA NA NA NA NA 317 0 NA NA NA NA NA 1533 182 NA NA NA NA NA 1771 280 NA NA NA NA
1533675600.0 1325.6 NA 118 NA NA NA NA NA NA 293 NA NA NA NA NA NA 2497 NA NA NA NA NA NA 2973 NA NA NA NA NA
1533675600.0 1325.7 NA 122 0 NA NA NA NA NA 293 0 NA NA NA NA NA 3192 199 NA NA NA NA NA 5359 279 NA NA NA NA
1533675600.0 1325.8 NA 129 0 NA NA NA NA NA 271 0 NA NA NA NA NA 2762 169 NA NA NA NA NA 2994 245 NA NA NA NA
1533675600.0 1325.9 NA 119 0 NA NA NA NA NA 267 0 NA NA NA NA NA 2097 177 NA NA NA NA NA 2253 246 NA NA NA NA
1533675600.0 1329.1 NA 132 0 NA NA NA NA NA 296 0 NA NA NA NA NA 2235 163 NA NA NA NA NA 2467 239 NA NA NA NA
1533675600.0 133.0 61 83 235 NA NA NA NA 206 292 471 NA NA NA NA 3769 385 1524 NA NA NA NA 4696 477 1722 NA NA NA NA
1533675600.0 134.0 NA 246 40 0 NA NA NA NA 467 153 0 NA NA NA NA 3001 136 76 NA NA NA NA 3257 209 125 NA NA NA
1533675600.0 134.702 NA 37 261 0 NA NA NA NA 155 507 0 NA NA NA NA 246 5323 734 NA NA NA NA 380 5578 828 NA NA NA
1533675600.0 134.703 NA 37 278 0 NA NA NA NA 163 508 0 NA NA NA NA 251 5709 781 NA NA NA NA 368 5912 903 NA NA NA
1533675600.0 134.705 NA 38 274 0 NA NA NA NA 163 507 0 NA NA NA NA 232 5625 776 NA NA NA NA 330 5859 905 NA NA NA
1533675600.0 134.706 NA 41 274 0 NA NA NA NA 163 507 0 NA NA NA NA 245 5569 763 NA NA NA NA 453 5776 844 NA NA NA
1533675600.0 134.71 NA 39 264 0 NA NA NA NA 156 507 0 NA NA NA NA 233 4025 764 NA NA NA NA 387 4226 884 NA NA NA
1533675600.0 134.807 NA 120 285 0 NA NA NA NA 263 560 0 NA NA NA NA 1015 7243 797 NA NA NA NA 1190 7605 878 NA NA NA
1533675600.0 134.808 NA 131 284 0 NA NA NA NA 263 559 0 NA NA NA NA 1030 7007 797 NA NA NA NA 1199 7380 903 NA NA NA
1533675600.0 134.811 NA 48 269 0 NA NA NA NA 169 508 0 NA NA NA NA 223 7178 696 NA NA NA NA 335 7423 790 NA NA NA
