Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1533675600.0 10001.0 NA 163 367 0 76 NA NA NA NA NA 562 532 0 134 NA NA NA NA NA 849 2799 1831 368 NA NA NA NA NA 1211 3610 2025 631 NA NA NA NA
1533675600.0 1001.0 NA 245 114 0 0 0 0 0 0 NA 374 185 0 0 0 0 0 0 NA 3337 1032 262 131 255 459 266 461 NA 3841 3363 1073 490 621 807 1928 642
1533675600.0 1004.0 NA 219 102 0 0 0 0 NA NA NA 358 157 0 0 0 0 NA NA NA 1413 675 134 245 541 412 NA NA NA 2540 1936 397 1051 991 566 NA NA
1533675600.0 101.0 91 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 952 NA NA NA NA NA NA NA NA 1365 NA NA NA NA NA NA NA NA
1533675600.0 1010.0 NA 32 42 0 NA NA NA NA NA NA 92 100 0 NA NA NA NA NA NA 176 439 269 NA NA NA NA NA NA 1803 2422 821 NA NA NA NA NA
1533675600.0 102.0 98 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 814 NA NA NA NA NA NA NA NA 1013 NA NA NA NA NA NA NA NA
1533675600.0 1020.0 NA 74 33 0 80 NA NA NA NA NA 145 72 0 151 NA NA NA NA NA 427 170 122 440 NA NA NA NA NA 1296 1407 1079 1575 NA NA NA NA
1533675600.0 1030.0 NA 189 54 0 0 NA NA NA NA NA 382 104 0 0 NA NA NA NA NA 12694 372 119 121 NA NA NA NA NA 6142 632 594 338 NA NA NA NA
1533675600.0 1040.1 NA 82 31 0 NA NA NA NA NA NA 147 76 0 NA NA NA NA NA NA 620 285 233 NA NA NA NA NA NA 1780 2060 610 NA NA NA NA NA
1533675600.0 106.0 50 0 0 NA NA NA NA NA NA 108 0 0 NA NA NA NA NA NA 830 348 1758 NA NA NA NA NA NA 1195 437 3267 NA NA NA NA NA NA
1533675600.0 122.0 48 0 0 NA NA NA NA NA NA 107 0 0 NA NA NA NA NA NA 743 414 2331 NA NA NA NA NA NA 1528 604 3329 NA NA NA NA NA NA
1533675600.0 125.0 109 94 269 NA NA NA NA NA NA 217 538 423 NA NA NA NA NA NA 3952 957 2707 NA NA NA NA NA NA 1913 1471 3059 NA NA NA NA NA NA
1533675600.0 1301.17 75 168 203 NA NA NA NA NA NA 143 589 399 NA NA NA NA NA NA 2512 1030 2462 NA NA NA NA NA NA 2174 1877 4098 NA NA NA NA NA NA
1533675600.0 132.0 107 106 278 NA NA NA NA NA NA 221 580 429 NA NA NA NA NA NA 3801 792 2840 NA NA NA NA NA NA 1962 950 4206 NA NA NA NA NA NA
1533675600.0 1325.0 NA 142 344 0 73 NA NA NA NA NA 561 487 0 123 NA NA NA NA NA 1110 4418 1814 701 NA NA NA NA NA 1463 4864 2475 1966 NA NA NA NA
1533675600.0 1325.1 NA 141 169 0 NA NA NA NA NA NA 517 274 0 NA NA NA NA NA NA 1682 1565 799 NA NA NA NA NA NA 1839 2494 1414 NA NA NA NA NA
1533675600.0 1325.3 NA 145 160 0 NA NA NA NA NA NA 562 271 0 NA NA NA NA NA NA 1561 1531 730 NA NA NA NA NA NA 1704 2477 1358 NA NA NA NA NA
1533675600.0 1325.5 NA 172 0 NA NA NA NA NA NA NA 261 0 NA NA NA NA NA NA NA 7702 430 NA NA NA NA NA NA NA 9654 1374 NA NA NA NA NA NA
