Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1532210400.0 1.0 94 93 212 NA NA NA NA NA NA 191 580 333 NA NA NA NA NA NA 1939 728 1535 NA NA NA NA NA NA 1115 550 1766 NA NA NA NA NA NA
1532210400.0 10.0 NA 132 302 0 NA NA NA NA NA NA 589 418 0 NA NA NA NA NA NA 2893 4797 769 NA NA NA NA NA NA 1374 3218 981 NA NA NA NA NA
1532210400.0 1000.0 NA 281 188 0 61 NA NA NA NA NA 427 276 0 109 NA NA NA NA NA 2987 1273 655 302 NA NA NA NA NA 2891 1497 787 522 NA NA NA NA
1532210400.0 10001.0 NA 161 359 0 75 NA NA NA NA NA 609 533 0 134 NA NA NA NA NA 960 2520 1548 352 NA NA NA NA NA 2002 3034 1741 550 NA NA NA NA
1532210400.0 10002.0 NA 166 352 0 79 NA NA NA NA NA 608 555 0 136 NA NA NA NA NA 892 2782 1863 367 NA NA NA NA NA 1238 3414 2323 620 NA NA NA NA
1532210400.0 10003.0 NA 163 366 0 86 NA NA NA NA NA 517 543 0 134 NA NA NA NA NA 1033 2621 1634 341 NA NA NA NA NA 1034 3774 1752 521 NA NA NA NA
1532210400.0 10004.0 NA 160 358 0 79 NA NA NA NA NA 561 552 0 132 NA NA NA NA NA 965 2748 2050 471 NA NA NA NA NA 1019 3546 2510 519 NA NA NA NA
1532210400.0 10005.0 NA 164 364 0 80 NA NA NA NA NA 562 523 0 132 NA NA NA NA NA 948 2727 1772 379 NA NA NA NA NA 1015 3064 2319 437 NA NA NA NA
1532210400.0 10006.0 NA 164 358 0 76 NA NA NA NA NA 564 559 0 134 NA NA NA NA NA 956 2630 1679 502 NA NA NA NA NA 1241 2858 1908 614 NA NA NA NA
1532210400.0 10007.0 NA 164 359 0 76 NA NA NA NA NA 517 543 0 134 NA NA NA NA NA 1003 2475 1694 370 NA NA NA NA NA 1597 2671 1849 651 NA NA NA NA
1532210400.0 10008.0 NA 165 366 0 86 NA NA NA NA NA 564 555 0 135 NA NA NA NA NA 940 2496 1691 375 NA NA NA NA NA 960 2618 1934 590 NA NA NA NA
1532210400.0 10009.0 NA 162 359 0 76 NA NA NA NA NA 560 531 0 133 NA NA NA NA NA 1022 2534 1835 307 NA NA NA NA NA 1048 2565 2074 503 NA NA NA NA
