Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1532293200.0 1.0 79 100 206 NA NA NA NA NA NA 197 576 291 NA NA NA NA NA NA 3865 1267 2801 NA NA NA NA NA NA 2228 977 3568 NA NA NA NA NA NA
1532293200.0 10.0 NA 130 294 0 NA NA NA NA NA NA 591 428 0 NA NA NA NA NA NA 2366 3631 557 NA NA NA NA NA NA 1068 2983 668 NA NA NA NA NA
1532293200.0 1000.0 NA 295 185 0 56 NA NA NA NA NA 398 281 0 100 NA NA NA NA NA 2315 966 585 258 NA NA NA NA NA 2307 1017 997 440 NA NA NA NA
1532293200.0 10001.0 NA 170 361 0 72 NA NA NA NA NA 596 559 0 124 NA NA NA NA NA 525 1630 1084 203 NA NA NA NA NA 394 2051 1201 306 NA NA NA NA
1532293200.0 10002.0 NA 170 354 0 72 NA NA NA NA NA 593 530 0 129 NA NA NA NA NA 547 1631 1073 203 NA NA NA NA NA 489 1755 1137 312 NA NA NA NA
1532293200.0 10003.0 NA 132 359 0 72 NA NA NA NA NA 605 546 0 122 NA NA NA NA NA 657 1649 1048 284 NA NA NA NA NA 930 1755 1103 435 NA NA NA NA
1532293200.0 10004.0 NA 160 362 0 72 NA NA NA NA NA 596 518 0 120 NA NA NA NA NA 579 1605 1056 278 NA NA NA NA NA 451 2366 1215 331 NA NA NA NA
1532293200.0 10005.0 NA 154 346 0 72 NA NA NA NA NA 601 551 0 128 NA NA NA NA NA 651 1655 1067 205 NA NA NA NA NA 926 1897 1251 313 NA NA NA NA
1532293200.0 10006.0 NA 170 352 0 72 NA NA NA NA NA 598 519 0 123 NA NA NA NA NA 547 1642 1054 202 NA NA NA NA NA 461 2532 1123 342 NA NA NA NA
1532293200.0 10007.0 NA 167 364 0 72 NA NA NA NA NA 597 510 0 123 NA NA NA NA NA 546 1647 1070 208 NA NA NA NA NA 406 1957 1144 352 NA NA NA NA
