Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533762000.0 10823.0 NA 208 347 0 101 162 NA 280 390 0 119 193 NA 3465 4840 5766 937 1746 NA 4592 5440 6312 1132 1839
1533762000.0 10824.0 NA 212 352 0 99 165 NA 287 398 0 129 197 NA 3961 5647 5966 944 1799 NA 4604 6476 6521 1497 1901
1533762000.0 10824.1 NA 214 191 0 NA NA NA 287 221 0 NA NA NA 3872 2248 941 NA NA NA 4586 2776 1055 NA NA
1533762000.0 10824.5 NA 211 101 0 NA NA NA 287 137 0 NA NA NA 3935 1450 339 NA NA NA 4392 1824 436 NA NA
1533762000.0 10824.6 NA 214 353 0 112 165 NA 287 398 0 129 197 NA 3911 5608 5971 899 1803 NA 4443 6420 6500 1141 1915
1533762000.0 10825.0 NA 209 356 0 102 165 NA 285 395 0 119 196 NA 3704 5173 5964 839 1776 NA 4280 6061 6435 1132 2065
1533762000.0 10826.0 NA 219 353 0 86 164 NA 293 405 0 120 197 NA 4162 6304 5923 979 1845 NA 4723 7376 6487 1250 1992
1533762000.0 10842.0 NA 215 349 0 113 165 NA 286 396 0 131 197 NA 3900 5505 5989 901 1865 NA 4481 6243 6476 1196 2285
1533762000.0 10859.0 NA 226 359 0 98 165 NA 295 407 0 130 197 NA 4295 7640 5918 1024 1843 NA 4779 8660 6438 1247 1984
1533762000.0 10871.0 NA 222 348 0 92 166 NA 294 403 0 120 197 NA 3894 5727 5905 938 1788 NA 4613 6532 6291 1222 1882
1533762000.0 109.0 66 76 232 NA NA NA 121 118 290 NA NA NA 8154 945 3866 NA NA NA 8662 1181 4571 NA NA NA
1533762000.0 11.0 NA 90 243 0 63 NA NA 167 309 0 100 NA NA 3519 3666 1534 404 NA NA 3949 4328 1765 466 NA
1533762000.0 110.0 58 74 229 NA NA NA 107 114 284 NA NA NA 1325 705 3305 NA NA NA 1539 947 3900 NA NA NA
1533762000.0 11024.0 NA 283 439 0 109 NA NA 379 541 0 149 NA NA 14494 15267 5926 1666 NA NA 17291 16812 6470 1849 NA
1533762000.0 11024.6 NA 281 435 0 109 NA NA 376 533 0 149 NA NA 13602 13477 5840 1635 NA NA 15866 15513 6271 1859 NA
1533762000.0 11025.0 NA 280 436 0 109 NA NA 375 543 0 149 NA NA 13404 13299 5710 1644 NA NA 15594 15231 6067 1885 NA
1533762000.0 111.0 66 77 229 NA NA NA 118 116 286 NA NA NA 2823 630 3408 NA NA NA 3136 857 4059 NA NA NA
1533762000.0 112.0 65 76 234 NA NA NA 119 117 287 NA NA NA 4832 819 3441 NA NA NA 5402 1057 4017 NA NA NA
1533762000.0 11224.0 NA 209 331 0 NA NA NA 284 397 0 NA NA NA 3918 5287 5743 NA NA NA 5613 7349 6018 NA NA
1533762000.0 11224.6 NA 209 331 0 NA NA NA 284 397 0 NA NA NA 3911 5184 5812 NA NA NA 5729 6426 6081 NA NA
1533762000.0 113.0 68 75 232 NA NA NA 119 116 286 NA NA NA 4873 809 3454 NA NA NA 5481 1038 4213 NA NA NA
1533762000.0 114.0 65 75 231 NA NA NA 120 116 287 NA NA NA 5507 843 3476 NA NA NA 6012 1099 4049 NA NA NA
1533762000.0 115.0 64 76 234 NA NA NA 119 118 287 NA NA NA 5471 812 3560 NA NA NA 6188 1041 4159 NA NA NA
1533762000.0 116.0 65 77 232 NA NA NA 120 118 288 NA NA NA 6312 906 3573 NA NA NA 6869 1140 4124 NA NA NA
1533762000.0 11623.0 60 102 299 0 73 NA 100 145 359 0 109 NA 2274 1434 4185 3405 549 NA 2929 1799 5081 3650 628 NA
