Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1533589200.0 134.99601 NA 0 NA 0 NA 0 NA 0
1533589200.0 134.99602 NA 0 NA 0 NA 0 NA 0
1533589200.0 134.99603 NA 0 NA 0 NA 0 NA 0
1533589200.0 134.99901 NA 0 NA 0 NA 0 NA 0
1533589200.0 1340.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1341.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1343.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1344.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1345.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1347.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1348.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1349.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1350.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1351.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1352.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1353.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1354.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1355.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1356.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 136.722 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.723 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.724 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.726 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.727 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.728 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.729 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.73 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.731 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.732 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.7321 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.734 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.735 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.736 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.739 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.74 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.743 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.744 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.745 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.746 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.748 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.749 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.75 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.751 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.753 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.754 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.755 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.756 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.757 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.759 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.76 NA 0 NA 0 NA 0 NA 0
1533589200.0 136.761 NA 0 NA 0 NA 0 NA 0
1533589200.0 1361.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 1364.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1365.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 1366.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 139901.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 139902.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 13992501.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 13992502.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 14.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 15.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 16.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 17.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 18.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 19.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 2.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 20.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 20034.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 20034.1 NA 0 NA 0 NA 0 NA 0
1533589200.0 20034.11 NA 0 NA 0 NA 0 NA 0
1533589200.0 20234.99 NA 0 NA 0 NA 0 NA 0
1533589200.0 20261.97 0 NA 0 NA 0 NA 0 NA
1533589200.0 21.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 21234.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 21234.11 0 NA 0 NA 0 NA 0 NA
1533589200.0 22.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 22034.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 22434.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 23.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 24.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 24034.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 25.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250199.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 250199.17 0 NA 0 NA 0 NA 0 NA
1533589200.0 250199.18 0 NA 0 NA 0 NA 0 NA
1533589200.0 250200.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250200.1 0 NA 0 NA 0 NA 0 NA
1533589200.0 250200.117 0 NA 0 NA 0 NA 0 NA
1533589200.0 250200.118 0 NA 0 NA 0 NA 0 NA
1533589200.0 250200.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250200.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250202.1 NA 0 NA 0 NA 0 NA 0
1533589200.0 250202.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250202.171 NA 0 NA 0 NA 0 NA 0
1533589200.0 250202.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250202.181 NA 0 NA 0 NA 0 NA 0
1533589200.0 250203.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250203.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250204.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250204.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250204.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250205.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250205.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250206.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 250206.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250206.181 NA 0 NA 0 NA 0 NA 0
1533589200.0 250207.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250207.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 250208.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 250208.18 NA 0 NA 0 NA 0 NA 0
1533589200.0 25200.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25202.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25203.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25204.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25205.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25206.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25207.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25208.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25209.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 25210.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 25212.17 0 NA 0 NA 0 NA 0 NA
1533589200.0 25213.17 0 NA 0 NA 0 NA 0 NA
1533589200.0 25214.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 26.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 27.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 28.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 29.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 3.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 30.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 31.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 32.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 33.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 34.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 35.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 36.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 37.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 38.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 39.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.17 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.23 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.24 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.26 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.27 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.28 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.29 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.36 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.37 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.4 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.41 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.42 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.43 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.44 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.45 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.51 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.52 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.53 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.54 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.55 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.57 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.58 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.61 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.62 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.63 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.64 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.65 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.67 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.68 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.71 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.72 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.73 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.74 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.75 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.76 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.77 NA 0 NA 0 NA 0 NA 0
1533589200.0 4.78 NA 0 NA 0 NA 0 NA 0
1533589200.0 4000.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 4003.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 43.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 44.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 45.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500200.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500200.1 0 NA 0 NA 0 NA 0 NA
1533589200.0 500202.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500203.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500204.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500205.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500206.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 500207.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50202.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50203.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50204.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50205.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50206.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50207.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 50208.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 6.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 7.0 0 NA 0 NA 0 NA 0 NA
1533589200.0 7.1 0 NA 0 NA 0 NA 0 NA
1533589200.0 7.2 0 NA 0 NA 0 NA 0 NA
1533589200.0 7.3 0 NA 0 NA 0 NA 0 NA
1533589200.0 7.4 0 NA 0 NA 0 NA 0 NA
1533589200.0 8.0 NA 0 NA 0 NA 0 NA 0
1533589200.0 9.0 NA 0 NA 0 NA 0 NA 0
