Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532815200.0 1.0 54 82 132 NA NA NA NA NA 98 147 184 NA NA NA NA NA 1443 263 667 NA NA NA NA NA 1515 289 694 NA NA NA NA NA
1532815200.0 10.0 NA 86 192 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 1744 1630 402 NA NA NA NA NA 1799 2006 417 NA NA NA NA
1532815200.0 1000.0 NA 222 127 0 47 NA NA NA NA 288 186 0 79 NA NA NA NA 2611 641 500 132 NA NA NA NA 2835 864 526 300 NA NA NA
1532815200.0 1001.0 NA 200 171 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 1919 440 6 60 649 37 531 NA 2007 463 11 71 658 52 537
1532815200.0 1002.0 NA 213 60 NA NA NA NA NA NA 279 100 NA NA NA NA NA NA 1800 132 NA NA NA NA NA NA 1904 157 NA NA NA NA NA
1532815200.0 10021.0 NA 88 133 0 NA NA NA NA NA 181 180 0 NA NA NA NA NA 481 511 183 NA NA NA NA NA 718 603 318 NA NA NA NA
1532815200.0 10023.0 NA 88 133 0 NA NA NA NA NA 181 182 0 NA NA NA NA NA 437 358 184 NA NA NA NA NA 563 504 202 NA NA NA NA
1532815200.0 10024.0 NA 94 134 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 499 484 206 NA NA NA NA NA 591 549 247 NA NA NA NA
1532815200.0 10025.0 NA 89 131 0 NA NA NA NA NA 181 181 0 NA NA NA NA NA 450 382 188 NA NA NA NA NA 511 462 208 NA NA NA NA
1532815200.0 10026.0 NA 93 135 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 527 547 205 NA NA NA NA NA 882 616 220 NA NA NA NA
1532815200.0 1003.0 NA 178 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 2414 265 NA NA NA NA NA NA 2547 280 NA NA NA NA NA
1532815200.0 1004.0 NA 180 132 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 428 201 5 39 272 294 NA NA 487 412 10 75 283 298 NA
1532815200.0 101.0 83 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 757 NA NA NA NA NA NA NA 773 NA NA NA NA NA NA NA
1532815200.0 102.0 83 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 698 NA NA NA NA NA NA NA 737 NA NA NA NA NA NA NA
1532815200.0 10224.0 NA 124 198 0 NA NA NA NA NA 198 278 0 NA NA NA NA NA 2745 2211 232 NA NA NA NA NA 7216 6002 245 NA NA NA NA
1532815200.0 10225.0 NA 133 178 0 NA NA NA NA NA 196 279 0 NA NA NA NA NA 2507 2213 236 NA NA NA NA NA 7847 7614 260 NA NA NA NA
1532815200.0 103.0 49 78 192 NA NA NA NA NA 94 149 254 NA NA NA NA NA 522 172 279 NA NA NA NA NA 561 187 306 NA NA NA NA NA
1532815200.0 105.0 54 75 24 NA NA NA NA NA 98 149 54 NA NA NA NA NA 1427 280 2 NA NA NA NA NA 1470 319 9 NA NA NA NA NA
1532815200.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 277 60 121 NA NA NA NA NA 307 85 164 NA NA NA NA NA
1532815200.0 107.0 53 78 193 NA NA NA NA NA 99 149 254 NA NA NA NA NA 3187 372 411 NA NA NA NA NA 3306 412 458 NA NA NA NA NA
1532815200.0 108.0 52 84 193 NA NA NA NA NA 102 149 254 NA NA NA NA NA 3635 323 436 NA NA NA NA NA 3817 362 500 NA NA NA NA NA
