Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1532552400.0 1.0 85 87 176 NA NA NA NA NA NA 169 362 277 NA NA NA NA NA NA 2620 832 1367 NA NA NA NA NA NA 2150 1345 2055 NA NA NA NA NA NA
1532552400.0 10.0 NA 118 281 0 NA NA NA NA NA NA 371 383 0 NA NA NA NA NA NA 3337 4422 649 NA NA NA NA NA NA 2252 3223 843 NA NA NA NA NA
1532552400.0 1000.0 NA 274 156 0 47 NA NA NA NA NA 363 248 0 91 NA NA NA NA NA 2574 1064 634 278 NA NA NA NA NA 3701 1261 898 793 NA NA NA NA
1532552400.0 10001.0 NA 130 344 66 0 NA NA NA NA NA 381 457 112 0 NA NA NA NA NA 526 1609 277 1155 NA NA NA NA NA 1367 2567 860 1459 NA NA NA NA
1532552400.0 10002.0 NA 125 346 73 0 NA NA NA NA NA 389 461 113 0 NA NA NA NA NA 515 1657 250 1174 NA NA NA NA NA 1191 3309 446 1613 NA NA NA NA
1532552400.0 10003.0 NA 128 345 71 0 NA NA NA NA NA 388 487 113 0 NA NA NA NA NA 559 1666 372 1152 NA NA NA NA NA 1338 2855 607 1474 NA NA NA NA
1532552400.0 10004.0 NA 130 342 65 0 NA NA NA NA NA 388 452 113 0 NA NA NA NA NA 501 1634 354 1168 NA NA NA NA NA 1142 3518 459 1498 NA NA NA NA
1532552400.0 10005.0 NA 130 344 73 0 NA NA NA NA NA 389 463 113 0 NA NA NA NA NA 510 1678 420 1161 NA NA NA NA NA 1419 3798 811 1561 NA NA NA NA
1532552400.0 10006.0 NA 124 342 71 0 NA NA NA NA NA 388 464 112 0 NA NA NA NA NA 567 1611 361 1163 NA NA NA NA NA 1384 3273 790 1605 NA NA NA NA
1532552400.0 10007.0 NA 131 344 75 0 NA NA NA NA NA 381 460 113 0 NA NA NA NA NA 541 1685 366 1166 NA NA NA NA NA 1662 3583 527 1557 NA NA NA NA
1532552400.0 10008.0 NA 131 314 75 0 NA NA NA NA NA 388 466 113 0 NA NA NA NA NA 511 1745 344 1162 NA NA NA NA NA 1007 3269 761 1743 NA NA NA NA
1532552400.0 10009.0 NA 126 350 70 0 NA NA NA NA NA 399 469 113 0 NA NA NA NA NA 593 1646 251 1170 NA NA NA NA NA 1469 2955 441 1483 NA NA NA NA
1532552400.0 1001.0 NA 238 108 0 0 0 0 0 0 NA 318 159 0 0 0 0 0 0 NA 2351 605 66 108 240 120 289 63 NA 3097 2547 252 249 598 373 1118 361
1532552400.0 1001.2 NA 360 133 0 NA NA NA NA NA NA 560 181 0 NA NA NA NA NA NA 13612 1631 67 NA NA NA NA NA NA 4833 1451 440 NA NA NA NA NA
1532552400.0 1002.0 NA 275 68 NA NA NA NA NA NA NA 367 124 NA NA NA NA NA NA NA 2873 374 NA NA NA NA NA NA NA 2567 465 NA NA NA NA NA NA
1532552400.0 10023.0 NA 131 341 73 0 NA NA NA NA NA 389 457 112 0 NA NA NA NA NA 510 1617 247 1191 NA NA NA NA NA 1362 3043 517 1878 NA NA NA NA
1532552400.0 10024.0 NA 142 327 66 0 NA NA NA NA NA 381 477 114 0 NA NA NA NA NA 582 2015 254 1201 NA NA NA NA NA 1009 3283 575 1530 NA NA NA NA
1532552400.0 10024.1 NA 139 187 0 NA NA NA NA NA NA 389 267 0 NA NA NA NA NA NA 686 749 313 NA NA NA NA NA NA 1793 1056 580 NA NA NA NA NA
1532552400.0 10024.2 NA 143 364 0 NA NA NA NA NA NA 381 476 0 NA NA NA NA NA NA 606 1860 1167 NA NA NA NA NA NA 1410 2627 1480 NA NA NA NA NA
1532552400.0 10024.3 NA 139 170 0 NA NA NA NA NA NA 388 258 0 NA NA NA NA NA NA 672 730 275 NA NA NA NA NA NA 958 1186 683 NA NA NA NA NA
1532552400.0 10024.4 NA 136 357 0 NA NA NA NA NA NA 388 476 0 NA NA NA NA NA NA 699 1821 1174 NA NA NA NA NA NA 890 2863 1496 NA NA NA NA NA
