Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533459600.0 1000.0 NA 277 152 0 51 NA 361 243 0 90 NA 3819 1379 1090 406 NA 4143 1651 2206 640
1533459600.0 10024.5 NA 145 92 0 NA NA 388 181 0 NA NA 964 886 233 NA NA 1908 4025 660 NA
1533459600.0 1003.0 NA 236 0 NA NA NA 320 0 NA NA NA 4304 733 NA NA NA 4804 1083 NA NA
1533459600.0 101.0 81 NA NA NA NA 148 NA NA NA NA 1100 NA NA NA NA 1790 NA NA NA NA
1533459600.0 102.0 84 NA NA NA NA 148 NA NA NA NA 1030 NA NA NA NA 1990 NA NA NA NA
1533459600.0 1020.0 NA 37 24 0 45 NA 105 62 0 113 NA 300 132 92 333 NA 864 482 493 1310
1533459600.0 105.0 82 94 29 NA NA 169 370 67 NA NA 2680 610 185 NA NA 2157 720 606 NA NA
1533459600.0 106.0 52 0 0 NA NA 93 0 0 NA NA 911 284 1635 NA NA 1440 454 2912 NA NA
1533459600.0 10824.5 NA 260 96 0 NA NA 476 187 0 NA NA 2284 789 179 NA NA 3070 1719 879 NA
1533459600.0 117.0 115 94 264 NA NA 197 363 359 NA NA 4749 840 2051 NA NA 2997 1142 2558 NA NA
1533459600.0 122.0 49 0 0 NA NA 92 0 0 NA NA 1041 375 1611 NA NA 2092 509 2484 NA NA
1533459600.0 126.0 68 89 249 NA NA 144 370 351 NA NA 2065 627 1915 NA NA 1591 855 3212 NA NA
1533459600.0 127.0 66 89 255 NA NA 120 363 351 NA NA 1072 637 1847 NA NA 2070 1065 2871 NA NA
1533459600.0 13.0 NA 100 265 0 NA NA 370 361 0 NA NA 651 2788 703 NA NA 1014 4239 1168 NA
1533459600.0 1301.0 86 126 192 NA NA 151 379 280 NA NA 2225 781 1519 NA NA 2054 963 2400 NA NA
1533459600.0 1301.17 67 124 191 NA NA 127 380 324 NA NA 2560 959 1553 NA NA 1732 1779 2032 NA NA
1533459600.0 1302.0 86 127 195 NA NA 157 380 293 NA NA 5052 891 1804 NA NA 2968 760 3418 NA NA
1533459600.0 1302.17 73 135 208 NA NA 134 380 294 NA NA 6053 947 1834 NA NA 3181 1219 3013 NA NA
1533459600.0 1303.0 93 128 194 NA NA 158 380 304 NA NA 9819 720 2293 NA NA 4710 687 2777 NA NA
1533459600.0 1303.17 80 141 223 NA NA 145 372 305 NA NA 10404 846 2433 NA NA 8749 1256 3614 NA NA
1533459600.0 1306.0 NA 122 320 0 NA NA 388 411 0 NA NA 760 2033 1185 NA NA 1459 2584 1715 NA
1533459600.0 1307.0 NA 114 173 44 0 NA 386 240 84 0 NA 832 801 236 609 NA 1611 1835 814 1544
1533459600.0 1309.0 NA 129 342 0 NA NA 388 440 0 NA NA 960 2579 1278 NA NA 2273 5445 1794 NA
1533459600.0 1310.0 NA 129 337 0 NA NA 381 429 0 NA NA 867 2241 1206 NA NA 1391 3225 1510 NA
1533459600.0 1311.0 NA 122 287 0 64 NA 388 374 0 104 NA 756 1370 1296 553 NA 1184 2238 2077 1786
1533459600.0 1313.0 NA 134 340 0 NA NA 388 437 0 NA NA 758 3344 1241 NA NA 1611 4981 2543 NA
1533459600.0 1314.0 NA 131 336 0 NA NA 389 424 0 NA NA 807 2410 1239 NA NA 1189 4462 1616 NA
1533459600.0 1317.0 NA 120 322 0 NA NA 388 425 0 NA NA 762 2093 1278 NA NA 1436 2599 1852 NA
1533459600.0 1318.0 NA 123 320 0 NA NA 388 418 0 NA NA 719 2241 1165 NA NA 1136 5351 1442 NA
1533459600.0 1320.0 NA 123 320 0 NA NA 387 435 0 NA NA 877 2479 1176 NA NA 1794 4210 1435 NA
1533459600.0 1321.0 NA 120 324 0 NA NA 384 422 0 NA NA 805 2599 1221 NA NA 1435 4383 1703 NA
1533459600.0 1322.0 NA 125 324 0 NA NA 388 425 0 NA NA 769 2175 1182 NA NA 1519 2964 1550 NA
1533459600.0 1325.0 NA 137 337 0 64 NA 388 439 0 112 NA 890 2724 1282 571 NA 1213 4231 2017 847
1533459600.0 1325.1 NA 130 155 0 NA NA 388 232 0 NA NA 880 1108 457 NA NA 1934 2362 1339 NA
1533459600.0 1325.3 NA 137 149 0 NA NA 388 227 0 NA NA 791 1054 422 NA NA 1370 2282 1060 NA
1533459600.0 1325.4 NA 131 338 0 NA NA 388 448 0 NA NA 928 2792 1320 NA NA 1777 4267 1856 NA
1533459600.0 1325.51 NA 148 0 NA NA NA 216 0 NA NA NA 2219 189 NA NA NA 3840 650 NA NA
1533459600.0 1325.6 NA 101 NA NA NA NA 166 NA NA NA NA 2864 NA NA NA NA 2367 NA NA NA
1533459600.0 1325.7 NA 107 0 NA NA NA 161 0 NA NA NA 2849 218 NA NA NA 3436 648 NA NA
1533459600.0 1327.0 NA 130 326 0 NA NA 388 425 0 NA NA 750 2412 1203 NA NA 1171 5511 1522 NA
1533459600.0 1328.0 NA 135 336 0 NA NA 389 426 0 NA NA 814 2346 1216 NA NA 1415 4223 1536 NA
1533459600.0 135.8 146 NA NA NA NA 236 NA NA NA NA 720 NA NA NA NA 1066 NA NA NA NA
1533459600.0 136.733 NA 162 63 0 NA NA 250 111 0 NA NA 1386 577 609 NA NA 1530 1428 1519 NA
1533459600.0 136.735 NA 77 277 0 NA NA 140 366 0 NA NA 1024 3532 1037 NA NA 1715 4367 1489 NA
1533459600.0 136.759 NA 81 373 0 NA NA 133 525 0 NA NA 753 24858 1345 NA NA 1624 15971 2645 NA
1533459600.0 136.76 NA 80 371 0 NA NA 139 497 0 NA NA 942 25115 1212 NA NA 1771 9283 1549 NA
1533459600.0 136.761 NA 82 383 0 NA NA 134 548 0 NA NA 820 26690 1251 NA NA 1697 11206 1558 NA
1533459600.0 136.762 NA 82 397 0 NA NA 143 571 0 NA NA 832 32205 1223 NA NA 1719 15243 1527 NA
1533459600.0 136.763 NA 82 362 0 NA NA 137 493 0 NA NA 886 26467 1226 NA NA 1739 11259 1667 NA
1533459600.0 136.764 NA 82 356 0 NA NA 133 483 0 NA NA 770 25701 1516 NA NA 1646 16548 2361 NA
1533459600.0 136.765 NA 81 352 0 NA NA 136 474 0 NA NA 834 21096 1581 NA NA 1715 8591 3091 NA
1533459600.0 136.7721 NA 163 0 NA NA NA 314 0 NA NA NA 3067 210 NA NA NA 3037 1214 NA NA
1533459600.0 136.7801 NA 90 0 NA NA NA 148 0 NA NA NA 520 252 NA NA NA 1030 498 NA NA
1533459600.0 136.7802 NA 101 0 NA NA NA 156 0 NA NA NA 482 288 NA NA NA 1025 746 NA NA
1533459600.0 136.7803 NA 94 NA NA NA NA 155 NA NA NA NA 522 NA NA NA NA 1956 NA NA NA
1533459600.0 136.816 NA 105 421 0 NA NA 161 619 0 NA NA 597 19868 1303 NA NA 1144 8695 1458 NA
1533459600.0 136.819 NA 106 430 0 NA NA 158 678 0 NA NA 630 21529 1320 NA NA 1132 11629 2493 NA
1533459600.0 136.8311 NA 162 0 NA NA NA 248 0 NA NA NA 2236 129 NA NA NA 3270 449 NA NA
1533459600.0 136.832 NA 106 476 0 NA NA 163 727 0 NA NA 618 24025 1347 NA NA 1419 12657 1481 NA
1533459600.0 136.833 NA 106 424 0 NA NA 170 635 0 NA NA 1713 21123 1312 NA NA 3788 9871 2548 NA
1533459600.0 136.848 NA 106 426 0 NA NA 164 651 0 NA NA 1670 21314 1325 NA NA 3724 9864 1669 NA
1533459600.0 140.54 NA 227 0 NA NA NA 328 0 NA NA NA 1247 387 NA NA NA 3096 689 NA NA
1533459600.0 150.1 NA 115 230 0 NA NA 389 341 0 NA NA 527 781 414 NA NA 799 1742 1663 NA
1533459600.0 19.0 NA 102 254 0 NA NA 370 371 0 NA NA 2248 2567 722 NA NA 1621 4027 1289 NA
1533459600.0 21.0 NA 95 254 0 NA NA 370 351 0 NA NA 2338 3120 684 NA NA 1744 4436 1223 NA
1533459600.0 30.0 NA 124 281 0 NA NA 371 389 0 NA NA 2997 3716 694 NA NA 1968 3037 949 NA
1533459600.0 503.0 37 0 NA NA NA 77 0 NA NA NA 235 117 NA NA NA 359 396 NA NA NA
1533459600.0 504.0 37 0 NA NA NA 77 0 NA NA NA 179 117 NA NA NA 365 396 NA NA NA
1533459600.0 505.0 33 0 NA NA NA 77 0 NA NA NA 181 117 NA NA NA 796 492 NA NA NA
1533459600.0 506.0 38 0 NA NA NA 77 0 NA NA NA 179 116 NA NA NA 369 391 NA NA NA
1533459600.0 507.0 36 0 NA NA NA 76 0 NA NA NA 183 118 NA NA NA 369 382 NA NA NA
1533459600.0 508.0 36 0 NA NA NA 76 0 NA NA NA 160 118 NA NA NA 325 501 NA NA NA
1533459600.0 509.0 36 0 NA NA NA 74 0 NA NA NA 151 118 NA NA NA 906 834 NA NA NA
1533459600.0 510.0 37 0 NA NA NA 77 0 NA NA NA 244 116 NA NA NA 979 754 NA NA NA
1533459600.0 511.0 44 0 NA NA NA 82 0 NA NA NA 9005 115 NA NA NA 14242 482 NA NA NA
1533459600.0 512.0 17 36 0 NA NA 138 78 0 NA NA 2501 164 117 NA NA 33720 390 735 NA NA
1533459600.0 513.0 16 41 0 NA NA 138 79 0 NA NA 718 168 120 NA NA 1053 822 732 NA NA
1533459600.0 514.0 16 35 0 NA NA 138 80 0 NA NA 421 182 120 NA NA 2149 374 871 NA NA
1533459600.0 515.0 16 38 0 NA NA 138 79 0 NA NA 2508 166 118 NA NA 27068 817 390 NA NA
1533459600.0 516.0 16 34 0 NA NA 138 79 0 NA NA 736 168 116 NA NA 1573 671 486 NA NA
1533459600.0 517.0 16 39 0 NA NA 138 80 0 NA NA 1810 188 119 NA NA 5100 384 380 NA NA
1533459600.0 518.0 16 35 0 NA NA 138 78 0 NA NA 2512 155 115 NA NA 27050 401 389 NA NA
1533459600.0 519.0 16 39 0 NA NA 138 80 0 NA NA 713 177 124 NA NA 2018 405 801 NA NA
1533459600.0 520.0 16 40 0 NA NA 138 79 0 NA NA 1575 184 116 NA NA 3757 702 382 NA NA
1533459600.0 521.0 16 39 0 NA NA 138 80 0 NA NA 737 177 116 NA NA 3686 439 455 NA NA
1533459600.0 522.0 16 39 0 NA NA 138 79 0 NA NA 2444 160 119 NA NA 27050 555 426 NA NA
1533459600.0 523.0 16 45 0 NA NA 138 91 0 NA NA 966 201 117 NA NA 1640 430 859 NA NA
1533459600.0 524.0 16 37 0 NA NA 138 80 0 NA NA 1710 186 118 NA NA 3834 821 667 NA NA
1533459600.0 525.0 17 36 0 NA NA 138 79 0 NA NA 712 162 121 NA NA 1032 428 845 NA NA
1533459600.0 526.0 16 36 0 NA NA 138 79 0 NA NA 2464 160 116 NA NA 27050 368 804 NA NA
1533459600.0 527.0 16 39 0 NA NA 138 79 0 NA NA 1815 182 117 NA NA 4924 379 792 NA NA
1533459600.0 528.0 16 36 0 NA NA 138 80 0 NA NA 723 176 118 NA NA 998 584 719 NA NA
1533459600.0 529.0 17 41 0 NA NA 138 79 0 NA NA 2515 163 117 NA NA 30758 425 846 NA NA
1533459600.0 530.0 16 41 0 NA NA 138 80 0 NA NA 1667 182 113 NA NA 3843 840 376 NA NA
1533459600.0 531.0 61 0 NA NA NA 185 0 NA NA NA 162 119 NA NA NA 401 378 NA NA NA
1533459600.0 534.0 44 0 NA NA NA 91 0 NA NA NA 194 119 NA NA NA 1092 857 NA NA NA
1533459600.0 541.0 45 0 NA NA NA 88 0 NA NA NA 182 117 NA NA NA 617 703 NA NA NA
1533459600.0 545.0 41 0 NA NA NA 87 0 NA NA NA 236 118 NA NA NA 387 816 NA NA NA
1533459600.0 552.0 16 41 0 NA NA 138 80 0 NA NA 2558 271 160 NA NA 4666 956 615 NA NA
1533459600.0 555.0 16 36 0 NA NA 138 78 0 NA NA 1686 221 189 NA NA 2755 455 524 NA NA
1533459600.0 556.0 16 41 0 NA NA 138 81 0 NA NA 674 305 166 NA NA 3138 1305 614 NA NA
