Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 135.8 160 NA NA NA NA NA NA 259 NA NA NA NA NA NA 783 NA NA NA NA NA NA 1412 NA NA NA NA NA NA
1533675600.0 1356.0 94 132 341 0 138 NA NA 180 556 534 0 210 NA NA 3490 841 3126 1312 1484 NA NA 2110 1641 3711 2040 2570 NA NA
1533675600.0 136.737 NA 88 378 0 NA NA NA NA 158 591 0 NA NA NA NA 796 19505 1106 NA NA NA NA 808 8008 1189 NA NA NA
1533675600.0 136.739 NA 95 395 0 NA NA NA NA 162 608 0 NA NA NA NA 805 21556 1334 NA NA NA NA 951 8127 1640 NA NA NA
1533675600.0 136.75 NA 98 407 0 NA NA NA NA 155 612 0 NA NA NA NA 831 22280 1176 NA NA NA NA 758 8652 1293 NA NA NA
1533675600.0 136.751 NA 99 429 0 NA NA NA NA 161 686 0 NA NA NA NA 816 22345 1307 NA NA NA NA 737 8269 1616 NA NA NA
1533675600.0 136.752 NA 97 370 0 NA NA NA NA 156 540 0 NA NA NA NA 976 18223 1311 NA NA NA NA 928 7281 2175 NA NA NA
1533675600.0 136.753 NA 93 361 0 NA NA NA NA 158 531 0 NA NA NA NA 754 18326 1321 NA NA NA NA 732 7157 1495 NA NA NA
1533675600.0 136.754 NA 89 378 0 NA NA NA NA 170 525 0 NA NA NA NA 904 15561 1627 NA NA NA NA 1557 7931 1975 NA NA NA
1533675600.0 136.755 NA 96 379 0 NA NA NA NA 163 630 0 NA NA NA NA 813 20863 1304 NA NA NA NA 924 8234 1586 NA NA NA
1533675600.0 136.758 NA 89 376 0 NA NA NA NA 164 547 0 NA NA NA NA 885 21284 1315 NA NA NA NA 988 8146 1465 NA NA NA
1533675600.0 136.759 NA 96 406 0 NA NA NA NA 161 593 0 NA NA NA NA 789 23929 1319 NA NA NA NA 1003 9115 1539 NA NA NA
1533675600.0 136.76 NA 97 374 0 NA NA NA NA 164 559 0 NA NA NA NA 941 26613 1240 NA NA NA NA 1046 10955 1439 NA NA NA
1533675600.0 136.761 NA 99 410 0 NA NA NA NA 164 628 0 NA NA NA NA 860 30087 1398 NA NA NA NA 1075 15055 1640 NA NA NA
1533675600.0 136.7611 NA 177 0 NA NA NA NA NA 281 0 NA NA NA NA NA 5558 160 NA NA NA NA NA 6556 447 NA NA NA NA
1533675600.0 136.762 NA 97 396 0 NA NA NA NA 169 640 0 NA NA NA NA 742 21830 821 NA NA NA NA 1466 8863 1022 NA NA NA
1533675600.0 136.763 NA 93 373 0 NA NA NA NA 170 533 0 NA NA NA NA 682 16831 854 NA NA NA NA 642 6155 1184 NA NA NA
1533675600.0 136.7721 NA 172 0 NA NA NA NA NA 270 0 NA NA NA NA NA 5213 133 NA NA NA NA NA 6237 242 NA NA NA NA
1533675600.0 136.7722 NA 171 0 NA NA NA NA NA 256 0 NA NA NA NA NA 1838 123 NA NA NA NA NA 2222 249 NA NA NA NA
1533675600.0 136.7801 NA 108 NA NA NA NA NA NA 174 NA NA NA NA NA NA 359 NA NA NA NA NA NA 1227 NA NA NA NA NA
1533675600.0 136.7802 NA 112 0 NA NA NA NA NA 186 0 NA NA NA NA NA 502 198 NA NA NA NA NA 813 287 NA NA NA NA
1533675600.0 136.7803 NA 109 0 NA NA NA NA NA 175 0 NA NA NA NA NA 547 164 NA NA NA NA NA 1378 447 NA NA NA NA
1533675600.0 136.782 NA 114 416 0 NA NA NA NA 181 682 0 NA NA NA NA 839 18053 1262 NA NA NA NA 1467 7378 1455 NA NA NA
1533675600.0 136.783 NA 117 447 0 NA NA NA NA 182 715 0 NA NA NA NA 749 20457 1291 NA NA NA NA 1466 8433 1963 NA NA NA
1533675600.0 136.788 NA 115 446 0 NA NA NA NA 177 789 0 NA NA NA NA 698 19751 1235 NA NA NA NA 1449 8190 2254 NA NA NA
1533675600.0 136.789 NA 120 406 0 NA NA NA NA 181 621 0 NA NA NA NA 547 15045 1180 NA NA NA NA 706 5746 1333 NA NA NA
1533675600.0 136.791 NA 109 339 0 NA NA NA NA 191 496 0 NA NA NA NA 686 2840 1152 NA NA NA NA 1285 2594 1269 NA NA NA
1533675600.0 136.7952 NA 164 0 NA NA NA NA NA 261 0 NA NA NA NA NA 1734 145 NA NA NA NA NA 1673 411 NA NA NA NA
1533675600.0 136.803 NA 111 341 0 NA NA NA NA 197 531 0 NA NA NA NA 621 2911 1107 NA NA NA NA 951 4067 1218 NA NA NA
1533675600.0 136.8311 NA 179 0 NA NA NA NA NA 265 0 NA NA NA NA NA 2719 148 NA NA NA NA NA 2680 617 NA NA NA NA
1533675600.0 136.871 NA 260 473 0 NA NA NA NA 431 797 0 NA NA NA NA 5205 25878 1831 NA NA NA NA 3680 11186 1960 NA NA NA
1533675600.0 139901.0 NA 149 348 0 NA NA NA NA 611 488 0 NA NA NA NA 628 1946 846 NA NA NA NA 479 2122 1171 NA NA NA
1533675600.0 139902.0 NA 148 354 0 NA NA NA NA 607 490 0 NA NA NA NA 615 2078 862 NA NA NA NA 490 2074 1872 NA NA NA
1533675600.0 144.6 NA 284 NA NA NA NA NA NA 433 NA NA NA NA NA NA 2903 NA NA NA NA NA NA 2932 NA NA NA NA NA
1533675600.0 2017.11 336 0 132 NA NA NA NA 696 0 209 NA NA NA NA 2352 485 1466 NA NA NA NA 2651 858 1528 NA NA NA NA
1533675600.0 2017.4 326 0 140 NA NA NA NA 695 0 212 NA NA NA NA 1021 260 814 NA NA NA NA 1144 397 894 NA NA NA NA
1533675600.0 2017.5 352 0 130 NA NA NA NA 731 0 195 NA NA NA NA 985 259 810 NA NA NA NA 838 390 921 NA NA NA NA
1533675600.0 2017.6 334 0 132 NA NA NA NA 737 0 211 NA NA NA NA 1203 269 856 NA NA NA NA 936 320 909 NA NA NA NA
1533675600.0 2017.7 344 0 129 NA NA NA NA 739 0 205 NA NA NA NA 1026 264 864 NA NA NA NA 882 312 1097 NA NA NA NA
1533675600.0 2017.8 180 NA NA NA NA NA NA 272 NA NA NA NA NA NA 425 NA NA NA NA NA NA 425 NA NA NA NA NA NA
1533675600.0 2017.9 324 0 127 NA NA NA NA 732 0 202 NA NA NA NA 995 260 822 NA NA NA NA 1220 323 968 NA NA NA NA
1533675600.0 250199.18 442 NA NA NA NA NA NA 756 NA NA NA NA NA NA 5365 NA NA NA NA NA NA 2516 NA NA NA NA NA NA
1533675600.0 250206.0 NA 316 442 0 NA NA NA NA 637 640 0 NA NA NA NA 13199 3325 792 NA NA NA NA 4719 2662 942 NA NA NA
1533675600.0 250405.0 379 0 137 NA NA NA NA 727 0 215 NA NA NA NA 1366 246 959 NA NA NA NA 1396 311 1688 NA NA NA NA
1533675600.0 250407.0 302 0 128 NA NA NA NA 725 0 208 NA NA NA NA 1271 238 920 NA NA NA NA 1532 481 1273 NA NA NA NA
1533675600.0 250408.0 383 0 133 NA NA NA NA 730 0 222 NA NA NA NA 1429 249 1007 NA NA NA NA 1353 338 2569 NA NA NA NA
