Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533589200.0 1.0 90 108 218 NA NA NA 190 538 343 NA NA NA 3645 1220 2445 NA NA NA 1752 729 2827 NA NA NA
1533589200.0 10024.0 NA 187 320 0 84 NA NA 611 542 0 135 NA NA 775 2236 1184 260 NA NA 550 2496 1257 388 NA
1533589200.0 10059.0 NA 185 327 0 88 NA NA 563 544 0 135 NA NA 852 2615 1254 315 NA NA 604 2346 1470 331 NA
1533589200.0 101.0 93 NA NA NA NA NA 161 NA NA NA NA NA 1291 NA NA NA NA NA 2391 NA NA NA NA NA
1533589200.0 1010.0 NA 37 45 0 NA NA NA 85 98 0 NA NA NA 148 304 194 NA NA NA 284 1311 289 NA NA
1533589200.0 102.0 92 NA NA NA NA NA 161 NA NA NA NA NA 1083 NA NA NA NA NA 1464 NA NA NA NA NA
1533589200.0 1020.0 NA 81 34 0 73 NA NA 141 72 0 147 NA NA 302 140 88 367 NA NA 472 218 138 1838 NA
1533589200.0 103.0 79 96 263 NA NA NA 162 583 399 NA NA NA 1687 659 2621 NA NA NA 1524 1793 4391 NA NA NA
1533589200.0 1040.1 NA 88 34 0 NA NA NA 144 76 0 NA NA NA 531 152 228 NA NA NA 620 245 1248 NA NA
1533589200.0 105.0 90 114 39 NA NA NA 191 541 78 NA NA NA 2280 660 147 NA NA NA 1467 1234 331 NA NA NA
1533589200.0 106.0 50 0 0 NA NA NA 105 0 0 NA NA NA 1052 310 2292 NA NA NA 1524 635 3846 NA NA NA
1533589200.0 108.0 101 107 281 NA NA NA 217 586 420 NA NA NA 5167 893 2888 NA NA NA 3391 1319 4478 NA NA NA
1533589200.0 10871.0 NA 262 388 0 92 161 NA 597 604 0 143 231 NA 2024 2419 2061 438 896 NA 2083 3244 3188 1249 1021
1533589200.0 110.0 70 104 264 NA NA NA 136 539 415 NA NA NA 829 821 2538 NA NA NA 1373 1127 4157 NA NA NA
1533589200.0 111.0 95 100 269 NA NA NA 194 537 426 NA NA NA 1980 640 2643 NA NA NA 1815 1217 4577 NA NA NA
1533589200.0 112.0 93 114 274 NA NA NA 207 582 428 NA NA NA 2817 668 2336 NA NA NA 2251 851 3586 NA NA NA
1533589200.0 11224.0 NA 271 414 0 NA NA NA 637 581 0 NA NA NA 2458 3473 3575 NA NA NA 4116 5780 5034 NA NA
1533589200.0 11224.6 NA 272 410 0 NA NA NA 604 592 0 NA NA NA 2548 3539 2991 NA NA NA 6599 5350 3651 NA NA
1533589200.0 113.0 102 101 267 NA NA NA 215 540 411 NA NA NA 2832 885 2466 NA NA NA 2101 1679 3322 NA NA NA
1533589200.0 117.0 112 101 274 NA NA NA 219 584 423 NA NA NA 4252 863 2502 NA NA NA 2621 1045 3287 NA NA NA
1533589200.0 118.0 109 105 277 NA NA NA 213 585 424 NA NA NA 4462 891 2851 NA NA NA 2719 1825 3878 NA NA NA
1533589200.0 119.0 106 106 272 NA NA NA 213 586 428 NA NA NA 3227 774 2541 NA NA NA 1942 1221 3624 NA NA NA
1533589200.0 120.0 70 102 259 NA NA NA 142 585 397 NA NA NA 1572 628 2555 NA NA NA 3030 1110 4516 NA NA NA
1533589200.0 12024.0 74 171 372 0 NA NA 134 553 553 0 NA NA 4254 1297 3544 1880 NA NA 2376 1500 5788 2409 NA NA
1533589200.0 122.0 48 0 0 NA NA NA 103 0 0 NA NA NA 649 222 1350 NA NA NA 919 182 1601 NA NA NA
1533589200.0 125.0 115 110 271 NA NA NA 219 583 391 NA NA NA 1782 529 1670 NA NA NA 912 421 1715 NA NA NA
1533589200.0 126.0 69 113 279 NA NA NA 139 583 400 NA NA NA 1531 395 1589 NA NA NA 1371 315 2156 NA NA NA
1533589200.0 127.0 70 101 269 NA NA NA 134 585 400 NA NA NA 1135 482 1640 NA NA NA 1033 417 1961 NA NA NA
1533589200.0 128.0 68 109 271 NA NA NA 134 583 401 NA NA NA 780 495 1517 NA NA NA 1069 493 1752 NA NA NA
1533589200.0 129.0 70 99 269 NA NA NA 134 585 409 NA NA NA 791 545 1558 NA NA NA 734 409 1714 NA NA NA
1533589200.0 13.0 NA 106 278 0 NA NA NA 590 398 0 NA NA NA 734 3555 815 NA NA NA 2246 6284 1362 NA NA
1533589200.0 130.0 63 107 272 NA NA NA 146 584 421 NA NA NA 1212 397 1550 NA NA NA 1167 491 1726 NA NA NA
1533589200.0 131.0 71 108 275 NA NA NA 137 585 403 NA NA NA 1138 410 1593 NA NA NA 842 361 2234 NA NA NA
1533589200.0 132.0 106 113 277 NA NA NA 214 585 426 NA NA NA 2377 533 1734 NA NA NA 1035 407 1737 NA NA NA
1533589200.0 1325.5 NA 171 0 NA NA NA NA 280 0 NA NA NA NA 7322 192 NA NA NA NA 8023 521 NA NA NA
1533589200.0 1325.51 NA 151 0 NA NA NA NA 250 0 NA NA NA NA 2899 219 NA NA NA NA 5125 538 NA NA NA
1533589200.0 1325.7 NA 170 0 NA NA NA NA 273 0 NA NA NA NA 5671 231 NA NA NA NA 6586 545 NA NA NA
1533589200.0 133.0 113 113 283 NA NA NA 219 585 414 NA NA NA 3479 514 1812 NA NA NA 1511 391 1729 NA NA NA
1533589200.0 134.813 NA 181 67 0 NA NA NA 273 114 0 NA NA NA 799 197 339 NA NA NA 629 411 397 NA NA
1533589200.0 135.8 149 NA NA NA NA NA 268 NA NA NA NA NA 757 NA NA NA NA NA 1757 NA NA NA NA NA
1533589200.0 1356.0 96 128 339 0 135 NA 174 592 519 0 218 NA 3106 820 2967 1186 1368 NA 1549 1301 4378 1505 1679 NA
1533589200.0 136.737 NA 83 384 0 NA NA NA 157 575 0 NA NA NA 798 17532 1238 NA NA NA 1173 6718 1722 NA NA
1533589200.0 136.738 NA 86 362 0 NA NA NA 161 517 0 NA NA NA 954 17282 1197 NA NA NA 1223 7031 2348 NA NA
1533589200.0 136.742 NA 81 364 0 NA NA NA 158 539 0 NA NA NA 807 16757 1013 NA NA NA 1595 6536 1106 NA NA
1533589200.0 136.749 NA 83 361 0 NA NA NA 164 541 0 NA NA NA 1002 17707 1176 NA NA NA 2686 6920 1289 NA NA
