Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533589200.0 101.0 101 NA NA NA NA NA 161 NA NA NA NA NA 793 NA NA NA NA NA 1252 NA NA NA NA NA
1533589200.0 1010.0 NA 32 41 0 NA NA NA 88 99 0 NA NA NA 290 533 443 NA NA NA 638 1710 999 NA NA
1533589200.0 102.0 94 NA NA NA NA NA 161 NA NA NA NA NA 684 NA NA NA NA NA 1144 NA NA NA NA NA
1533589200.0 1020.0 NA 75 23 0 80 NA NA 144 72 0 150 NA NA 651 319 262 565 NA NA 1571 1471 1048 1719 NA
1533589200.0 1040.1 NA 77 27 0 NA NA NA 150 76 0 NA NA NA 1023 444 311 NA NA NA 2408 1700 850 NA NA
1533589200.0 106.0 51 0 0 NA NA NA 107 0 0 NA NA NA 795 251 1395 NA NA NA 880 533 2616 NA NA NA
1533589200.0 10808.0 NA 280 401 0 99 158 NA 681 556 0 152 234 NA 1914 2229 2180 470 1046 NA 1799 2843 2581 834 1650
1533589200.0 10809.0 NA 253 390 0 94 153 NA 663 594 0 147 243 NA 2120 2287 2213 414 988 NA 2427 3037 2534 604 1329
1533589200.0 10824.5 NA 289 166 0 NA NA NA 671 251 0 NA NA NA 1953 602 129 NA NA NA 1662 1658 370 NA NA
1533589200.0 10859.0 NA 303 419 0 95 161 NA 667 607 0 149 237 NA 2155 2950 2207 634 1027 NA 1904 3164 2501 869 1395
1533589200.0 111.0 94 106 276 NA NA NA 192 585 398 NA NA NA 2239 446 1649 NA NA NA 2533 583 2174 NA NA NA
1533589200.0 117.0 117 120 275 NA NA NA 215 584 420 NA NA NA 2861 485 1751 NA NA NA 1563 581 1917 NA NA NA
1533589200.0 12.0 NA 131 289 0 NA NA NA 590 435 0 NA NA NA 2068 3268 565 NA NA NA 1086 2668 1166 NA NA
