Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1533675600.0 1020.0 NA 42 NA NA 109 NA NA 221 NA NA 491 NA
1533675600.0 120.0 65 83 395 145 368 521 937 504 1794 920 949 3124
1533675600.0 126.0 69 83 327 149 367 513 2169 529 1917 1962 570 3885
1533675600.0 128.0 61 84 394 115 360 510 542 573 1767 1031 980 2757
1533675600.0 1303.0 90 106 205 159 377 323 6281 588 1399 5462 1286 1950
1533675600.0 131.0 70 82 402 143 367 510 1551 563 1852 1097 579 3547
1533675600.0 135.9 314 0 105 518 0 168 1138 233 550 1935 414 1242
1533675600.0 4007.0 65 105 419 119 376 529 1108 444 1849 1326 940 3017
