Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 133.0 61 87 237 NA NA NA 135 210 336 NA NA NA 3231 535 3414 NA NA NA 3775 678 3727 NA NA NA
1533420000.0 134.813 NA 151 54 0 NA NA NA 242 112 0 NA NA NA 2002 663 696 NA NA NA 2334 800 805 NA NA
1533420000.0 135.8 84 NA NA NA NA NA 162 NA NA NA NA NA 785 NA NA NA NA NA 956 NA NA NA NA NA
1533420000.0 136.7611 NA 151 0 NA NA NA NA 243 0 NA NA NA NA 4769 211 NA NA NA NA 4973 270 NA NA NA
1533420000.0 136.7721 NA 144 0 NA NA NA NA 225 0 NA NA NA NA 4422 208 NA NA NA NA 4670 289 NA NA NA
1533420000.0 136.7801 NA 98 0 NA NA NA NA 166 0 NA NA NA NA 1600 283 NA NA NA NA 1860 380 NA NA NA
1533420000.0 136.7802 NA 96 0 NA NA NA NA 166 0 NA NA NA NA 1445 347 NA NA NA NA 1893 438 NA NA NA
1533420000.0 136.815 NA 77 280 0 NA NA NA 145 425 0 NA NA NA 1296 6452 2458 NA NA NA 2192 6817 2559 NA NA
1533420000.0 136.824 NA 74 357 0 NA NA NA 145 567 0 NA NA NA 1107 47412 2790 NA NA NA 2406 52213 2907 NA NA
1533420000.0 136.831 NA 75 367 0 NA NA NA 145 567 0 NA NA NA 1131 45164 2660 NA NA NA 2422 49830 2749 NA NA
1533420000.0 136.8311 NA 139 0 NA NA NA NA 224 0 NA NA NA NA 5879 430 NA NA NA NA 6583 612 NA NA NA
1533420000.0 136.843 NA 75 358 0 NA NA NA 145 490 0 NA NA NA 1149 50513 2590 NA NA NA 2436 55252 2693 NA NA
1533420000.0 136.848 NA 76 310 0 NA NA NA 145 490 0 NA NA NA 1266 39494 2546 NA NA NA 2596 42258 2655 NA NA
1533420000.0 136.8521 NA 122 0 NA NA NA NA 218 0 NA NA NA NA 4921 350 NA NA NA NA 5486 480 NA NA NA
1533420000.0 140.0 75 80 175 0 NA NA 142 165 282 0 NA NA 6176 1016 3095 997 NA NA 8077 2479 4139 1124 NA NA
