Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533762000.0 10001.0 NA 107 297 0 75 NA NA NA 181 436 0 125 NA NA NA 540 3449 1979 1087 NA NA NA 699 3661 2083 1372 NA NA
1533762000.0 10002.0 NA 100 305 0 75 NA NA NA 181 436 0 125 NA NA NA 554 3377 2003 1061 NA NA NA 812 3608 2381 1153 NA NA
1533762000.0 10003.0 NA 104 301 0 69 NA NA NA 181 436 0 125 NA NA NA 565 3557 1974 1071 NA NA NA 730 3915 2046 1267 NA NA
1533762000.0 10004.0 NA 102 298 0 74 NA NA NA 226 436 0 125 NA NA NA 583 3408 1968 1065 NA NA NA 906 3625 2057 1209 NA NA
1533762000.0 10005.0 NA 103 298 0 75 NA NA NA 226 436 0 125 NA NA NA 555 3447 1947 1086 NA NA NA 744 3801 2052 1254 NA NA
1533762000.0 10006.0 NA 114 288 0 71 NA NA NA 226 436 0 125 NA NA NA 548 3378 1929 1080 NA NA NA 701 3641 2030 1231 NA NA
1533762000.0 10007.0 NA 106 302 0 74 NA NA NA 181 436 0 125 NA NA NA 569 3480 1971 1076 NA NA NA 705 3682 2064 1207 NA NA
1533762000.0 10008.0 NA 102 300 0 71 NA NA NA 227 436 0 125 NA NA NA 580 3467 1979 1079 NA NA NA 760 3662 2062 1288 NA NA
1533762000.0 10009.0 NA 105 297 0 76 NA NA NA 181 436 0 125 NA NA NA 579 3454 2009 1048 NA NA NA 748 3682 2096 1213 NA NA
1533762000.0 10023.0 NA 101 300 0 69 NA NA NA 226 436 0 125 NA NA NA 578 3376 1994 1067 NA NA NA 934 3550 2090 1239 NA NA
1533762000.0 10024.0 NA 116 306 0 70 NA NA NA 228 436 0 125 NA NA NA 649 3785 2147 1072 NA NA NA 845 4240 2268 1236 NA NA
1533762000.0 10024.1 NA 112 181 0 NA NA NA NA 182 281 0 NA NA NA NA 663 1518 854 NA NA NA NA 830 1709 921 NA NA NA
1533762000.0 10024.2 NA 108 303 0 NA NA NA NA 183 436 0 NA NA NA NA 651 3702 2070 NA NA NA NA 823 4217 2209 NA NA NA
1533762000.0 10024.3 NA 114 165 0 NA NA NA NA 228 281 0 NA NA NA NA 648 1480 737 NA NA NA NA 758 1620 845 NA NA NA
1533762000.0 10024.4 NA 113 309 0 NA NA NA NA 228 436 0 NA NA NA NA 651 3737 2069 NA NA NA NA 824 4117 2264 NA NA NA
1533762000.0 10024.5 NA 118 137 0 NA NA NA NA 228 216 0 NA NA NA NA 665 862 235 NA NA NA NA 834 1052 332 NA NA NA
1533762000.0 10025.0 NA 104 301 0 70 NA NA NA 226 436 0 125 NA NA NA 615 3500 2085 1082 NA NA NA 779 3716 2226 1532 NA NA
1533762000.0 10026.0 NA 114 307 0 72 NA NA NA 228 500 0 125 NA NA NA 702 3991 2106 1076 NA NA NA 873 4159 2193 1297 NA NA
1533762000.0 1004.0 NA 196 96 0 0 0 0 NA 279 152 0 0 0 0 NA 1949 792 127 222 794 801 NA 2134 920 174 260 828 840
1533762000.0 10042.0 NA 107 296 0 71 NA NA NA 227 436 0 125 NA NA NA 604 3565 2108 1076 NA NA NA 810 3797 2296 1342 NA NA
1533762000.0 10059.0 NA 122 319 0 70 NA NA NA 227 500 0 125 NA NA NA 690 4215 2101 1086 NA NA NA 877 4551 2215 1264 NA NA
