Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1533675600.0 1000.0 NA 266 163 0 54 NA NA NA NA NA 370 276 0 101 NA NA NA NA NA 5421 3671 1565 854 NA NA NA NA NA 6405 5057 1886 1059 NA NA NA NA
1533675600.0 1001.0 NA 215 112 0 0 0 0 0 0 NA 324 172 0 0 0 0 0 0 NA 4696 1479 186 197 403 1245 687 794 NA 5356 1749 265 287 894 1387 807 926
1533675600.0 1001.2 NA 279 122 0 NA NA NA NA NA NA 421 195 0 NA NA NA NA NA NA 21098 3046 277 NA NA NA NA NA NA 23258 3842 341 NA NA NA NA NA
1533675600.0 1002.0 NA 239 75 NA NA NA NA NA NA NA 334 130 NA NA NA NA NA NA NA 6809 1681 NA NA NA NA NA NA NA 8244 2213 NA NA NA NA NA NA
1533675600.0 1003.0 NA 205 0 NA NA NA NA NA NA NA 322 0 NA NA NA NA NA NA NA 6073 1144 NA NA NA NA NA NA NA 7296 1450 NA NA NA NA NA NA
1533675600.0 1004.0 NA 187 96 0 0 0 0 NA NA NA 279 152 0 0 0 0 NA NA NA 2680 1125 210 283 1012 939 NA NA NA 3482 1402 312 353 1051 990 NA NA
1533675600.0 1010.0 NA 23 32 0 NA NA NA NA NA NA 83 95 0 NA NA NA NA NA NA 299 353 252 NA NA NA NA NA NA 441 481 410 NA NA NA NA NA
1533675600.0 102.0 98 NA NA NA NA NA NA NA NA 170 NA NA NA NA NA NA NA NA 805 NA NA NA NA NA NA NA NA 906 NA NA NA NA NA NA NA NA
1533675600.0 1020.0 NA 61 25 0 59 NA NA NA NA NA 135 72 0 136 NA NA NA NA NA 820 240 223 793 NA NA NA NA NA 1190 368 351 923 NA NA NA NA
1533675600.0 103.0 42 0 0 NA NA NA NA NA NA 101 0 0 NA NA NA NA NA NA 495 263 2825 NA NA NA NA NA NA 634 346 3171 NA NA NA NA NA NA
1533675600.0 1030.0 NA 133 43 0 0 NA NA NA NA NA 245 94 0 0 NA NA NA NA NA 11334 823 199 208 NA NA NA NA NA 12106 1013 262 259 NA NA NA NA
1533675600.0 1040.0 NA 249 30 0 NA NA NA NA NA NA 366 75 0 NA NA NA NA NA NA 15249 232 206 NA NA NA NA NA NA 15771 480 380 NA NA NA NA NA
1533675600.0 1040.1 NA 65 26 0 NA NA NA NA NA NA 133 75 0 NA NA NA NA NA NA 1677 272 268 NA NA NA NA NA NA 2066 388 374 NA NA NA NA NA
1533675600.0 106.0 41 0 0 NA NA NA NA NA NA 101 0 0 NA NA NA NA NA NA 486 267 2817 NA NA NA NA NA NA 584 373 3098 NA NA NA NA NA NA
1533675600.0 107.0 57 76 239 NA NA NA NA NA NA 136 166 336 NA NA NA NA NA NA 2478 491 3144 NA NA NA NA NA NA 2662 670 3384 NA NA NA NA NA NA
1533675600.0 10801.0 NA 184 327 0 81 103 NA NA NA NA 279 500 0 137 165 NA NA NA NA 2093 3577 2708 1091 2634 NA NA NA NA 2381 4010 2885 1284 2756 NA NA NA
1533675600.0 10802.0 NA 183 336 0 80 98 NA NA NA NA 280 500 0 137 165 NA NA NA NA 2117 3612 2741 1109 2716 NA NA NA NA 2491 3998 2797 1269 2834 NA NA NA
1533675600.0 10803.0 NA 173 314 0 82 102 NA NA NA NA 280 500 0 137 165 NA NA NA NA 2114 3685 2700 1105 2742 NA NA NA NA 2479 4047 2781 1297 2831 NA NA NA
1533675600.0 10804.0 NA 182 323 0 72 113 NA NA NA NA 280 500 0 137 185 NA NA NA NA 2085 3564 2748 1178 2629 NA NA NA NA 2486 3913 2870 1630 2759 NA NA NA
1533675600.0 10805.0 NA 175 319 0 82 100 NA NA NA NA 279 500 0 137 165 NA NA NA NA 2110 3605 2816 1111 2676 NA NA NA NA 2441 4125 2897 1244 2779 NA NA NA
1533675600.0 10806.0 NA 168 309 0 78 107 NA NA NA NA 279 500 0 137 185 NA NA NA NA 2083 3612 2741 1138 2603 NA NA NA NA 2481 4137 2954 1647 2905 NA NA NA
1533675600.0 10807.0 NA 176 326 0 90 101 NA NA NA NA 280 500 0 153 165 NA NA NA NA 2125 3608 2717 1150 2726 NA NA NA NA 2595 4003 2793 1287 3186 NA NA NA
1533675600.0 10809.0 NA 177 330 0 96 104 NA NA NA NA 279 500 0 153 165 NA NA NA NA 2111 3682 2834 1103 2711 NA NA NA NA 2598 4042 3051 1226 2810 NA NA NA
1533675600.0 10823.0 NA 173 306 0 79 95 NA NA NA NA 280 500 0 137 165 NA NA NA NA 2097 3612 2799 1082 2637 NA NA NA NA 2422 4123 2873 1213 2761 NA NA NA
1533675600.0 10824.0 NA 179 338 0 89 93 NA NA NA NA 325 500 0 153 165 NA NA NA NA 2241 3874 2971 1170 2845 NA NA NA NA 2777 4518 3106 1428 3167 NA NA NA
1533675600.0 10824.5 NA 214 143 0 NA NA NA NA NA NA 325 232 0 NA NA NA NA NA NA 2232 1006 201 NA NA NA NA NA NA 3058 1181 276 NA NA NA NA NA
1533675600.0 10824.6 NA 178 336 0 88 106 NA NA NA NA 325 500 0 153 165 NA NA NA NA 2239 3908 3075 1137 2727 NA NA NA NA 2742 4282 3232 1272 2868 NA NA NA
1533675600.0 10825.0 NA 179 340 0 83 100 NA NA NA NA 281 501 0 137 165 NA NA NA NA 2114 3679 2877 1116 2669 NA NA NA NA 2625 3993 2951 1303 2833 NA NA NA
1533675600.0 10826.0 NA 179 345 0 81 105 NA NA NA NA 326 501 0 137 165 NA NA NA NA 2288 4049 2905 1153 2732 NA NA NA NA 2795 4384 2975 1287 2957 NA NA NA
1533675600.0 10842.0 NA 171 328 0 94 108 NA NA NA NA 326 501 0 153 165 NA NA NA NA 2237 3831 2964 1103 2714 NA NA NA NA 2760 4407 3899 1275 3102 NA NA NA
1533675600.0 10871.0 NA 199 300 0 78 100 NA NA NA NA 326 501 0 137 165 NA NA NA NA 2177 3941 2954 1094 2713 NA NA NA NA 2365 4589 3189 1286 2809 NA NA NA
1533675600.0 109.0 65 78 229 NA NA NA NA NA NA 135 210 336 NA NA NA NA NA NA 3050 532 3288 NA NA NA NA NA NA 3283 634 3621 NA NA NA NA NA NA
1533675600.0 110.0 54 75 225 NA NA NA NA NA NA 110 210 336 NA NA NA NA NA NA 573 444 3036 NA NA NA NA NA NA 684 642 3286 NA NA NA NA NA NA
1533675600.0 1102.0 NA 101 235 115 107 NA NA NA NA NA 173 336 203 166 NA NA NA NA NA 3243 6845 3602 1517 NA NA NA NA NA 4227 7294 4155 2013 NA NA NA NA
1533675600.0 11024.0 NA 276 444 0 109 NA NA NA NA NA 442 676 0 165 NA NA NA NA NA 6537 8730 3251 3072 NA NA NA NA NA 7426 10566 3371 3165 NA NA NA NA
1533675600.0 11024.6 NA 268 445 0 101 NA NA NA NA NA 442 676 0 165 NA NA NA NA NA 6919 8487 3324 3072 NA NA NA NA NA 8698 9874 3538 3217 NA NA NA NA
1533675600.0 11025.0 NA 268 447 0 104 NA NA NA NA NA 442 675 0 165 NA NA NA NA NA 6440 8265 3352 3073 NA NA NA NA NA 7281 9395 3574 3184 NA NA NA NA
1533675600.0 111.0 57 77 232 NA NA NA NA NA NA 136 210 336 NA NA NA NA NA NA 1056 407 3114 NA NA NA NA NA NA 1191 550 3465 NA NA NA NA NA NA
1533675600.0 112.0 61 71 236 NA NA NA NA NA NA 136 210 336 NA NA NA NA NA NA 1714 502 3248 NA NA NA NA NA NA 1905 647 3729 NA NA NA NA NA NA
1533675600.0 114.0 56 75 225 NA NA NA NA NA NA 135 210 336 NA NA NA NA NA NA 2008 539 3278 NA NA NA NA NA NA 2226 669 3640 NA NA NA NA NA NA
1533675600.0 117.0 63 73 230 NA NA NA NA NA NA 135 210 336 NA NA NA NA NA NA 2863 535 3276 NA NA NA NA NA NA 3070 661 3506 NA NA NA NA NA NA
1533675600.0 118.0 63 73 233 NA NA NA NA NA NA 136 166 336 NA NA NA NA NA NA 2793 535 3302 NA NA NA NA NA NA 3023 652 3699 NA NA NA NA NA NA
1533675600.0 119.0 60 77 232 NA NA NA NA NA NA 135 210 336 NA NA NA NA NA NA 1514 483 3092 NA NA NA NA NA NA 1690 689 3309 NA NA NA NA NA NA
1533675600.0 120.0 52 80 227 NA NA NA NA NA NA 117 210 336 NA NA NA NA NA NA 535 455 3120 NA NA NA NA NA NA 663 628 3589 NA NA NA NA NA NA
1533675600.0 122.0 60 81 223 NA NA NA NA NA NA 126 210 336 NA NA NA NA NA NA 505 292 2771 NA NA NA NA NA NA 628 387 2976 NA NA NA NA NA NA
1533675600.0 123.1 192 NA NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA NA 1789 NA NA NA NA NA NA NA NA 1967 NA NA NA NA NA NA NA NA
1533675600.0 123.2 194 NA NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA NA 1838 NA NA NA NA NA NA NA NA 2031 NA NA NA NA NA NA NA NA
1533675600.0 124.1 182 NA NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA NA 1699 NA NA NA NA NA NA NA NA 2061 NA NA NA NA NA NA NA NA
1533675600.0 124.2 192 NA NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA NA 1753 NA NA NA NA NA NA NA NA 1916 NA NA NA NA NA NA NA NA
1533675600.0 124.4 180 NA NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA NA 1677 NA NA NA NA NA NA NA NA 1902 NA NA NA NA NA NA NA NA
1533675600.0 124.6 172 NA NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA NA 1691 NA NA NA NA NA NA NA NA 1889 NA NA NA NA NA NA NA NA
1533675600.0 125.0 66 86 229 NA NA NA NA NA NA 136 210 336 NA NA NA NA NA NA 1645 443 2853 NA NA NA NA NA NA 1847 554 3119 NA NA NA NA NA NA
1533675600.0 126.0 49 67 228 NA NA NA NA NA NA 125 210 336 NA NA NA NA NA NA 788 447 2793 NA NA NA NA NA NA 922 663 2998 NA NA NA NA NA NA
1533675600.0 127.0 50 74 224 NA NA NA NA NA NA 117 165 336 NA NA NA NA NA NA 879 411 2777 NA NA NA NA NA NA 988 509 2974 NA NA NA NA NA NA
1533675600.0 128.0 53 78 224 NA NA NA NA NA NA 110 210 336 NA NA NA NA NA NA 469 434 2766 NA NA NA NA NA NA 605 602 2955 NA NA NA NA NA NA
1533675600.0 129.0 53 77 223 NA NA NA NA NA NA 110 210 336 NA NA NA NA NA NA 469 398 2731 NA NA NA NA NA NA 603 503 2941 NA NA NA NA NA NA
1533675600.0 130.0 54 74 220 NA NA NA NA NA NA 117 165 336 NA NA NA NA NA NA 533 451 2753 NA NA NA NA NA NA 675 733 2969 NA NA NA NA NA NA
1533675600.0 1301.0 57 81 191 NA NA NA NA NA NA 126 218 276 NA NA NA NA NA NA 1515 624 2888 NA NA NA NA NA NA 1745 878 3183 NA NA NA NA NA NA
1533675600.0 1301.17 52 94 165 NA NA NA NA NA NA 118 174 289 NA NA NA NA NA NA 1662 742 3186 NA NA NA NA NA NA 2053 872 3477 NA NA NA NA NA NA
1533675600.0 1302.0 59 93 194 NA NA NA NA NA NA 126 219 276 NA NA NA NA NA NA 6087 704 3071 NA NA NA NA NA NA 6920 874 3474 NA NA NA NA NA NA
1533675600.0 1302.17 56 114 180 NA NA NA NA NA NA 118 219 289 NA NA NA NA NA NA 6302 696 3492 NA NA NA NA NA NA 7193 896 3817 NA NA NA NA NA NA
1533675600.0 1303.0 65 91 162 NA NA NA NA NA NA 135 218 276 NA NA NA NA NA NA 9303 598 3702 NA NA NA NA NA NA 10198 781 4062 NA NA NA NA NA NA
