Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533675600.0 10.0 NA 128 295 0 NA 592 455 0 NA 3308 5176 1052 NA 2200 3523 1242
1533675600.0 101.0 91 NA NA NA 160 NA NA NA 1341 NA NA NA 2396 NA NA NA
1533675600.0 102.0 91 NA NA NA 161 NA NA NA 1105 NA NA NA 1995 NA NA NA
1533675600.0 103.0 73 98 266 NA 148 583 382 NA 2645 806 2844 NA 2616 796 3601 NA
1533675600.0 105.0 89 102 34 NA 194 583 78 NA 2183 752 200 NA 1967 460 274 NA
1533675600.0 106.0 50 0 0 NA 105 0 0 NA 1370 310 2653 NA 1885 499 4364 NA
1533675600.0 107.0 102 103 265 NA 211 582 408 NA 3810 618 2976 NA 3193 411 3576 NA
1533675600.0 108.0 98 106 280 NA 219 583 432 NA 6625 771 2754 NA 5285 473 2801 NA
1533675600.0 109.0 106 103 273 NA 216 583 427 NA 5490 881 3068 NA 3675 720 3472 NA
1533675600.0 110.0 70 102 270 NA 139 597 423 NA 850 676 2440 NA 1420 739 2797 NA
1533675600.0 111.0 92 99 272 NA 192 584 399 NA 1892 725 2695 NA 1749 692 3237 NA
1533675600.0 112.0 99 96 272 NA 210 584 396 NA 4085 1023 2822 NA 2657 823 3188 NA
1533675600.0 11224.0 NA 273 408 0 NA 541 593 0 NA 2820 4107 3135 NA 3085 6961 3635
1533675600.0 11224.6 NA 272 415 0 NA 637 616 0 NA 2718 3982 3653 NA 3058 6453 4067
1533675600.0 113.0 106 99 265 NA 216 537 413 NA 3415 1109 2888 NA 2550 796 3348 NA
1533675600.0 114.0 102 96 273 NA 204 584 388 NA 4254 1025 2870 NA 2643 866 3645 NA
1533675600.0 115.0 106 104 273 NA 211 583 417 NA 4051 681 2883 NA 2990 461 3325 NA
1533675600.0 116.0 115 104 278 NA 215 538 422 NA 5146 648 3091 NA 3461 584 3676 NA
1533675600.0 117.0 112 115 278 NA 217 583 417 NA 5946 789 2769 NA 3554 519 3092 NA
1533675600.0 118.0 107 108 273 NA 215 579 422 NA 6256 648 3118 NA 3969 534 3232 NA
1533675600.0 119.0 104 94 268 NA 216 582 417 NA 4175 1037 2976 NA 2571 830 3398 NA
1533675600.0 12.0 NA 123 292 0 NA 591 428 0 NA 3206 4966 1064 NA 2053 3321 1332
1533675600.0 120.0 62 100 263 NA 142 583 407 NA 952 687 2337 NA 1884 467 2484 NA
1533675600.0 121.0 112 104 280 NA 220 584 419 NA 5165 980 2733 NA 3355 1008 2679 NA
1533675600.0 122.0 49 0 0 NA 104 0 0 NA 1310 587 2911 NA 1091 603 5334 NA
1533675600.0 13.0 NA 108 272 0 NA 603 407 0 NA 626 4017 755 NA 1051 5337 847
1533675600.0 1325.5 NA 169 0 NA NA 263 0 NA NA 9975 388 NA NA 11554 719 NA
1533675600.0 1325.51 NA 155 0 NA NA 256 0 NA NA 4282 344 NA NA 5711 655 NA
1533675600.0 1325.7 NA 171 0 NA NA 280 0 NA NA 6573 338 NA NA 6997 645 NA
1533675600.0 134.807 NA 147 368 0 NA 229 558 0 NA 1645 14668 1514 NA 1664 9599 1821
1533675600.0 134.813 NA 171 67 0 NA 278 123 0 NA 1498 355 712 NA 1431 610 982
1533675600.0 135.8 180 NA NA NA 258 NA NA NA 793 NA NA NA 990 NA NA NA
1533675600.0 14.0 NA 122 292 0 NA 589 443 0 NA 3421 7409 1037 NA 2833 4609 1438
1533675600.0 15.0 NA 111 272 0 NA 591 422 0 NA 2267 3525 939 NA 1663 5055 1230
1533675600.0 16.0 NA 109 278 0 NA 545 432 0 NA 2643 3975 757 NA 2550 5363 885
1533675600.0 17.0 NA 113 277 0 NA 591 428 0 NA 2189 3684 700 NA 1098 5637 845
1533675600.0 18.0 NA 94 260 0 NA 601 397 0 NA 2400 3509 884 NA 2067 5269 1255
