Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1533459600.0 101.0 102 NA NA 161 NA NA 803 NA NA 1507 NA NA
1533459600.0 102.0 95 NA NA 161 NA NA 733 NA NA 1222 NA NA
1533459600.0 106.0 50 0 0 106 0 0 436 235 1457 1174 395 2689
1533459600.0 1325.5 NA 170 0 NA 283 0 NA 7759 208 NA 12319 587
1533459600.0 1325.51 NA 159 0 NA 255 0 NA 2772 246 NA 3199 1279
1533459600.0 135.8 183 NA NA 274 NA NA 660 NA NA 1377 NA NA
1533459600.0 2017.8 150 NA NA 266 NA NA 719 NA NA 1015 NA NA
