Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533848400.0 25403.0 459 0 135 NA 755 0 215 NA 5933 421 1629 NA 6928 857 2243 NA
1533848400.0 25405.0 471 0 131 NA 752 0 210 NA 5336 525 1508 NA 6385 1226 2477 NA
1533848400.0 25406.0 451 0 136 NA 726 0 221 NA 3927 464 1448 NA 5052 810 2000 NA
1533848400.0 25407.0 395 0 128 NA 712 0 221 NA 5019 417 1554 NA 6059 812 2876 NA
1533848400.0 25408.0 492 0 135 NA 711 0 213 NA 7194 436 1631 NA 5618 579 2000 NA
1533848400.0 25409.0 478 0 132 NA 730 0 212 NA 5725 524 1537 NA 6599 1211 2110 NA
1533848400.0 26.0 NA 126 310 0 NA 559 434 0 NA 2969 4563 870 NA 1955 4501 1184
1533848400.0 27.0 NA 130 288 0 NA 589 443 0 NA 2896 4437 881 NA 2132 4954 1048
1533848400.0 29.0 NA 133 306 0 NA 589 448 0 NA 2727 4713 765 NA 1355 6453 844
1533848400.0 30.0 NA 131 293 0 NA 590 439 0 NA 2746 4419 774 NA 1715 3420 1020
1533848400.0 31.0 NA 131 277 0 NA 589 435 0 NA 2895 4459 747 NA 1739 4148 862
1533848400.0 32.0 NA 133 293 0 NA 601 447 0 NA 2834 4420 751 NA 1665 3389 960
1533848400.0 33.0 NA 130 292 0 NA 589 451 0 NA 2809 4122 711 NA 1664 4264 821
1533848400.0 35.0 NA 126 292 0 NA 590 430 0 NA 3398 4825 742 NA 2326 4135 945
1533848400.0 36.0 NA 125 299 0 NA 589 449 0 NA 2986 15345 825 NA 1410 7687 1015
1533848400.0 37.0 NA 127 296 0 NA 590 410 0 NA 3180 6013 781 NA 2341 4136 920
1533848400.0 39.0 NA 125 301 0 NA 560 453 0 NA 3837 9308 853 NA 2892 5470 1043
1533848400.0 43.0 NA 128 280 0 NA 590 433 0 NA 2757 5514 846 NA 1775 4652 1110
1533848400.0 44.0 NA 123 276 0 NA 544 432 0 NA 3173 5107 788 NA 2047 4405 1014
1533848400.0 45.0 NA 127 296 0 NA 590 431 0 NA 3180 4539 751 NA 2178 3578 873
1533848400.0 50202.0 NA 193 424 0 NA 603 612 0 NA 2350 4943 758 NA 2061 4037 880
1533848400.0 50203.0 NA 197 419 0 NA 603 565 0 NA 1981 4716 711 NA 1711 4040 780
1533848400.0 50206.0 NA 193 419 0 NA 605 564 0 NA 2109 4072 751 NA 1909 3777 906
1533848400.0 9.0 NA 124 296 0 NA 592 423 0 NA 3198 5617 768 NA 2256 3986 894
