Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532163600.0 1.0 63 71 165 NA NA NA NA NA 114 136 234 NA NA NA NA NA 1784 392 1003 NA NA NA NA NA 2082 736 1335 NA NA NA NA NA
1532163600.0 10.0 NA 105 239 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2136 2979 541 NA NA NA NA NA 2416 3405 852 NA NA NA NA
1532163600.0 1000.0 NA 232 158 0 51 NA NA NA NA 319 245 0 85 NA NA NA NA 2991 1338 838 354 NA NA NA NA 3728 2022 1101 588 NA NA NA
1532163600.0 10001.0 NA 172 307 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 2918 5057 1185 3459 NA NA NA NA 4061 8035 2198 4168 NA NA NA
1532163600.0 10002.0 NA 174 307 73 0 NA NA NA NA 240 408 115 0 NA NA NA NA 3310 4490 1260 3608 NA NA NA NA 6599 7161 2236 4599 NA NA NA
1532163600.0 10003.0 NA 174 298 73 0 NA NA NA NA 241 408 115 0 NA NA NA NA 2696 5195 1215 3726 NA NA NA NA 3849 7773 2256 4577 NA NA NA
1532163600.0 10004.0 NA 172 298 73 0 NA NA NA NA 238 408 115 0 NA NA NA NA 2850 4995 1172 3502 NA NA NA NA 4061 7346 2183 4566 NA NA NA
1532163600.0 10005.0 NA 172 305 72 0 NA NA NA NA 238 408 114 0 NA NA NA NA 2933 4260 1316 3480 NA NA NA NA 5254 6174 2668 4549 NA NA NA
1532163600.0 10006.0 NA 173 303 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 2659 5087 1174 3433 NA NA NA NA 3938 8244 2055 4347 NA NA NA
1532163600.0 10007.0 NA 175 299 92 0 NA NA NA NA 239 408 128 0 NA NA NA NA 3395 5030 1435 3702 NA NA NA NA 7317 7713 2367 4634 NA NA NA
1532163600.0 10008.0 NA 175 306 83 0 NA NA NA NA 239 408 127 0 NA NA NA NA 3243 4909 1302 3504 NA NA NA NA 6202 7436 2543 4190 NA NA NA
1532163600.0 10009.0 NA 175 306 82 0 NA NA NA NA 240 408 127 0 NA NA NA NA 3783 5122 1216 3680 NA NA NA NA 9910 8435 2142 4594 NA NA NA
1532163600.0 1001.0 NA 210 116 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 2332 447 80 170 308 149 372 NA 2881 716 243 462 478 309 545
1532163600.0 1002.0 NA 236 72 NA NA NA NA NA NA 310 119 NA NA NA NA NA NA 2968 367 NA NA NA NA NA NA 3432 561 NA NA NA NA NA
1532163600.0 10023.0 NA 159 301 74 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1212 1669 350 1836 NA NA NA NA 2023 2223 564 2246 NA NA NA
1532163600.0 10024.0 NA 174 316 93 0 NA NA NA NA 255 411 130 0 NA NA NA NA 1368 1949 385 1896 NA NA NA NA 1836 2405 583 2213 NA NA NA
1532163600.0 10024.1 NA 176 160 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1372 793 327 NA NA NA NA NA 1720 1274 449 NA NA NA NA
1532163600.0 10024.2 NA 173 306 0 NA NA NA NA NA 255 409 0 NA NA NA NA NA 1359 1916 1872 NA NA NA NA NA 1871 2333 2291 NA NA NA NA
1532163600.0 10024.3 NA 186 153 0 NA NA NA NA NA 254 205 0 NA NA NA NA NA 1359 766 296 NA NA NA NA NA 1643 1105 671 NA NA NA NA
1532163600.0 10024.4 NA 187 319 0 NA NA NA NA NA 255 411 0 NA NA NA NA NA 1335 1896 1913 NA NA NA NA NA 1633 2554 2247 NA NA NA NA
1532163600.0 10024.5 NA 184 160 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1379 779 321 NA NA NA NA NA 1605 1131 656 NA NA NA NA
1532163600.0 10024.6 NA 185 315 0 NA NA NA NA NA 254 408 0 NA NA NA NA NA 1350 1885 1834 NA NA NA NA NA 1697 2481 2086 NA NA NA NA
1532163600.0 10025.0 NA 174 310 73 0 NA NA NA NA 246 409 115 0 NA NA NA NA 1278 1828 376 1896 NA NA NA NA 1924 2638 625 2300 NA NA NA
1532163600.0 10026.0 NA 186 313 92 0 NA NA NA NA 257 411 126 0 NA NA NA NA 1424 2095 384 1941 NA NA NA NA 2111 2497 591 2102 NA NA NA
1532163600.0 1003.0 NA 201 0 NA NA NA NA NA NA 264 0 NA NA NA NA NA NA 2884 658 NA NA NA NA NA NA 3649 836 NA NA NA NA NA
1532163600.0 1004.0 NA 176 94 0 0 0 0 NA NA 236 137 0 0 0 0 NA NA 1161 307 78 120 328 278 NA NA 2073 875 290 282 568 428 NA
1532163600.0 10042.0 NA 179 303 85 0 NA NA NA NA 246 409 129 0 NA NA NA NA 1279 1841 377 1891 NA NA NA NA 1715 2344 638 2229 NA NA NA
1532163600.0 10059.0 NA 183 320 87 0 NA NA NA NA 260 411 126 0 NA NA NA NA 1489 2659 390 1919 NA NA NA NA 2231 3420 659 2282 NA NA NA
1532163600.0 10071.0 NA 166 305 74 0 NA NA NA NA 247 409 116 0 NA NA NA NA 1302 1874 376 1872 NA NA NA NA 1889 2333 597 2003 NA NA NA
1532163600.0 101.0 89 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 954 NA NA NA NA NA NA NA 1196 NA NA NA NA NA NA NA
1532163600.0 1010.0 NA 29 36 0 NA NA NA NA NA 69 81 0 NA NA NA NA NA 164 174 201 NA NA NA NA NA 429 384 426 NA NA NA NA
1532163600.0 102.0 84 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 756 NA NA NA NA NA NA NA 920 NA NA NA NA NA NA NA
1532163600.0 1020.0 NA 42 NA NA NA NA NA NA NA 102 NA NA NA NA NA NA NA 319 NA NA NA NA NA NA NA 639 NA NA NA NA NA NA
1532163600.0 10224.0 NA 257 398 0 NA NA NA NA NA 338 517 0 NA NA NA NA NA 3681 4227 1935 NA NA NA NA NA 4399 5533 2201 NA NA NA NA
1532163600.0 10225.0 NA 255 406 0 NA NA NA NA NA 345 528 0 NA NA NA NA NA 3903 4160 1907 NA NA NA NA NA 5235 5768 2157 NA NA NA NA
1532163600.0 103.0 43 0 0 NA NA NA NA NA 87 0 0 NA NA NA NA NA 392 138 1115 NA NA NA NA NA 573 265 1776 NA NA NA NA NA
1532163600.0 1030.0 NA 136 46 0 NA NA NA NA NA 235 80 0 NA NA NA NA NA 12160 280 88 NA NA NA NA NA 13339 471 374 NA NA NA NA
1532163600.0 10424.0 NA 184 317 0 NA NA NA NA NA 255 410 0 NA NA NA NA NA 1359 2041 1876 NA NA NA NA NA 1981 2873 2150 NA NA NA NA
1532163600.0 105.0 62 78 29 NA NA NA NA NA 114 136 62 NA NA NA NA NA 1423 402 134 NA NA NA NA NA 1653 733 366 NA NA NA NA NA
1532163600.0 106.0 48 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 397 135 1178 NA NA NA NA NA 721 385 1627 NA NA NA NA NA
1532163600.0 107.0 61 72 219 NA NA NA NA NA 115 136 296 NA NA NA NA NA 2468 387 1372 NA NA NA NA NA 2782 683 1696 NA NA NA NA NA
1532163600.0 108.0 64 74 224 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3836 415 1496 NA NA NA NA NA 4301 743 1997 NA NA NA NA NA
1532163600.0 10823.0 56 175 297 73 0 NA NA NA 99 229 408 114 0 NA NA NA 765 1158 1678 346 1845 NA NA NA 1248 1753 2200 618 2005 NA NA NA
1532163600.0 10824.0 56 162 315 91 0 NA NA NA 103 239 409 128 0 NA NA NA 3592 1355 1959 391 1885 NA NA NA 4963 1786 2480 617 2132 NA NA NA
1532163600.0 10825.0 56 177 309 76 0 NA NA NA 102 236 409 115 0 NA NA NA 2729 1268 1839 360 1905 NA NA NA 3084 1838 2203 633 2066 NA NA NA
1532163600.0 10826.0 61 168 316 90 0 NA NA NA 105 241 409 126 0 NA NA NA 6004 1433 2204 375 1901 NA NA NA 7326 1979 2619 602 2070 NA NA NA
1532163600.0 10842.0 62 174 313 84 0 NA NA NA 101 232 409 128 0 NA NA NA 1066 1133 1640 375 1857 NA NA NA 1337 1696 2160 641 1999 NA NA NA
1532163600.0 109.0 63 75 230 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3566 413 1466 NA NA NA NA NA 3935 696 2092 NA NA NA NA NA
1532163600.0 11.0 NA 88 233 0 59 NA NA NA NA 144 318 0 99 NA NA NA NA 1710 1452 573 216 NA NA NA NA 2022 1930 738 458 NA NA NA
1532163600.0 110.0 51 73 217 NA NA NA NA NA 95 136 292 NA NA NA NA NA 507 354 1263 NA NA NA NA NA 767 612 1666 NA NA NA NA NA
1532163600.0 1102.0 NA 96 233 115 82 NA NA NA NA 151 313 182 157 NA NA NA NA 3475 3859 1884 373 NA NA NA NA 5100 4388 2271 540 NA NA NA
