Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532725200.0 1.0 61 77 153 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1430 391 915 NA NA NA NA NA 1667 774 1586 NA NA NA NA NA
1532725200.0 10.0 NA 104 233 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2152 3085 543 NA NA NA NA NA 3046 3589 772 NA NA NA NA
1532725200.0 1000.0 NA 231 152 0 46 NA NA NA NA 319 245 0 85 NA NA NA NA 3055 1267 765 312 NA NA NA NA 3920 1931 1161 539 NA NA NA
1532725200.0 10001.0 NA 176 306 83 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1722 2445 487 1999 NA NA NA NA 2696 3496 851 2320 NA NA NA
1532725200.0 10002.0 NA 157 301 77 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1763 2405 505 2303 NA NA NA NA 2605 2929 814 2630 NA NA NA
1532725200.0 10003.0 NA 167 301 73 0 NA NA NA NA 241 408 115 0 NA NA NA NA 1761 2307 523 2077 NA NA NA NA 2541 2807 966 2477 NA NA NA
1532725200.0 10004.0 NA 164 299 82 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1753 2324 466 2016 NA NA NA NA 2712 3170 779 2760 NA NA NA
1532725200.0 10005.0 NA 159 305 78 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1832 2266 455 1924 NA NA NA NA 2568 2896 728 2236 NA NA NA
1532725200.0 10006.0 NA 155 298 75 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1760 2285 492 2083 NA NA NA NA 2455 2897 777 2395 NA NA NA
1532725200.0 10007.0 NA 175 298 91 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1730 2494 411 2084 NA NA NA NA 2645 3255 1023 2402 NA NA NA
1532725200.0 10008.0 NA 160 309 90 0 NA NA NA NA 239 408 127 0 NA NA NA NA 1834 2306 514 2026 NA NA NA NA 2625 2841 967 2380 NA NA NA
1532725200.0 10009.0 NA 160 307 85 0 NA NA NA NA 240 408 127 0 NA NA NA NA 1796 2327 564 2302 NA NA NA NA 3248 2874 1079 2566 NA NA NA
1532725200.0 1001.0 NA 220 118 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 3718 569 90 170 394 172 299 NA 5116 909 376 405 569 405 417
1532725200.0 1002.0 NA 236 69 NA NA NA NA NA NA 310 118 NA NA NA NA NA NA 3177 386 NA NA NA NA NA NA 3885 1051 NA NA NA NA NA
1532725200.0 10023.0 NA 165 305 74 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1197 1658 360 1936 NA NA NA NA 1656 2337 612 2177 NA NA NA
1532725200.0 10024.0 NA 175 320 84 0 NA NA NA NA 255 411 129 0 NA NA NA NA 1362 1927 394 1945 NA NA NA NA 1834 2438 718 2217 NA NA NA
1532725200.0 10024.1 NA 186 161 0 NA NA NA NA NA 254 212 0 NA NA NA NA NA 1397 784 342 NA NA NA NA NA 1876 1308 606 NA NA NA NA
1532725200.0 10024.2 NA 173 320 0 NA NA NA NA NA 254 409 0 NA NA NA NA NA 1428 2027 2008 NA NA NA NA NA 2213 2476 2590 NA NA NA NA
1532725200.0 10024.3 NA 186 155 0 NA NA NA NA NA 254 205 0 NA NA NA NA NA 1381 772 300 NA NA NA NA NA 1696 1065 525 NA NA NA NA
1532725200.0 10024.4 NA 181 322 0 NA NA NA NA NA 255 411 0 NA NA NA NA NA 1427 1968 1925 NA NA NA NA NA 1982 2419 2081 NA NA NA NA
1532725200.0 10024.5 NA 184 162 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1358 777 333 NA NA NA NA NA 1701 1281 664 NA NA NA NA
1532725200.0 10024.6 NA 176 317 0 NA NA NA NA NA 255 409 0 NA NA NA NA NA 1389 1963 1875 NA NA NA NA NA 2077 2651 2019 NA NA NA NA
1532725200.0 10025.0 NA 172 308 73 0 NA NA NA NA 246 409 115 0 NA NA NA NA 1286 1900 362 1918 NA NA NA NA 1767 2661 615 2149 NA NA NA
1532725200.0 10026.0 NA 190 317 84 0 NA NA NA NA 257 411 126 0 NA NA NA NA 1385 2070 376 1902 NA NA NA NA 1729 2791 605 2152 NA NA NA
