Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532595600.0 1.0 61 71 154 NA NA NA NA NA 114 136 233 NA NA NA NA NA 2110 590 1422 NA NA NA NA NA 2577 898 2299 NA NA NA NA NA
1532595600.0 10.0 NA 104 232 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2000 2740 502 NA NA NA NA NA 2441 3061 956 NA NA NA NA
1532595600.0 1000.0 NA 236 155 0 47 NA NA NA NA 319 248 0 85 NA NA NA NA 3364 1548 1033 379 NA NA NA NA 4027 2242 1525 601 NA NA NA
1532595600.0 10001.0 NA 174 301 74 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1181 1714 353 1856 NA NA NA NA 1668 2354 567 2206 NA NA NA
1532595600.0 10002.0 NA 163 301 83 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1209 1818 358 1840 NA NA NA NA 1923 2444 590 2171 NA NA NA
1532595600.0 10003.0 NA 166 308 77 0 NA NA NA NA 241 408 115 0 NA NA NA NA 1260 1810 367 1868 NA NA NA NA 1941 2577 599 2262 NA NA NA
1532595600.0 10004.0 NA 157 306 74 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1184 1665 357 1851 NA NA NA NA 1683 1961 602 2181 NA NA NA
1532595600.0 10005.0 NA 160 301 78 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1178 1687 355 1829 NA NA NA NA 1875 1993 602 2040 NA NA NA
1532595600.0 10006.0 NA 167 305 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1209 1684 356 1834 NA NA NA NA 1925 2154 616 2243 NA NA NA
1532595600.0 10007.0 NA 169 301 83 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1208 1775 396 1844 NA NA NA NA 1697 2496 643 2283 NA NA NA
1532595600.0 10008.0 NA 157 302 83 0 NA NA NA NA 239 408 127 0 NA NA NA NA 1210 1754 392 1834 NA NA NA NA 1883 2503 616 2293 NA NA NA
1532595600.0 10009.0 NA 174 302 92 0 NA NA NA NA 240 408 127 0 NA NA NA NA 1241 1739 457 1846 NA NA NA NA 2125 2230 943 2162 NA NA NA
1532595600.0 1001.0 NA 209 118 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 2986 650 103 148 425 219 319 NA 4052 927 285 304 604 509 480
1532595600.0 1002.0 NA 236 72 NA NA NA NA NA NA 310 118 NA NA NA NA NA NA 3741 405 NA NA NA NA NA NA 4481 604 NA NA NA NA NA
1532595600.0 10023.0 NA 160 301 74 0 NA NA NA NA 239 408 114 0 NA NA NA NA 1106 1550 336 1721 NA NA NA NA 1733 2256 609 2062 NA NA NA
1532595600.0 10024.0 NA 186 314 85 0 NA NA NA NA 254 411 129 0 NA NA NA NA 1273 1801 355 1752 NA NA NA NA 1853 2241 673 2197 NA NA NA
1532595600.0 10024.1 NA 187 161 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1295 733 307 NA NA NA NA NA 1820 1335 519 NA NA NA NA
1532595600.0 10024.2 NA 185 326 0 NA NA NA NA NA 254 409 0 NA NA NA NA NA 1362 1774 1731 NA NA NA NA NA 2409 2405 1996 NA NA NA NA
1532595600.0 10024.3 NA 185 156 0 NA NA NA NA NA 254 205 0 NA NA NA NA NA 1262 728 269 NA NA NA NA NA 1726 1191 378 NA NA NA NA
1532595600.0 10024.4 NA 184 319 0 NA NA NA NA NA 255 411 0 NA NA NA NA NA 1288 1784 1745 NA NA NA NA NA 1750 2176 2142 NA NA NA NA
1532595600.0 10024.5 NA 186 160 0 NA NA NA NA NA 254 212 0 NA NA NA NA NA 1268 721 341 NA NA NA NA NA 1734 1026 622 NA NA NA NA
1532595600.0 10024.6 NA 173 318 0 NA NA NA NA NA 255 409 0 NA NA NA NA NA 1295 1748 1707 NA NA NA NA NA 1702 2241 2072 NA NA NA NA
1532595600.0 10025.0 NA 176 309 80 0 NA NA NA NA 246 409 115 0 NA NA NA NA 1196 1674 326 1748 NA NA NA NA 1828 2456 600 2040 NA NA NA
1532595600.0 10026.0 NA 185 315 91 0 NA NA NA NA 257 411 126 0 NA NA NA NA 1357 1939 345 1748 NA NA NA NA 2021 2292 702 2199 NA NA NA
1532595600.0 1003.0 NA 214 0 NA NA NA NA NA NA 263 0 NA NA NA NA NA NA 3641 692 NA NA NA NA NA NA 4159 1054 NA NA NA NA NA
1532595600.0 1004.0 NA 176 92 0 0 0 0 NA NA 236 137 0 0 0 0 NA NA 1357 538 120 181 395 420 NA NA 3866 2004 311 328 587 713 NA
1532595600.0 10042.0 NA 168 312 88 0 NA NA NA NA 246 409 129 0 NA NA NA NA 1224 1672 352 1746 NA NA NA NA 1711 2231 640 2021 NA NA NA
1532595600.0 10059.0 NA 186 322 92 0 NA NA NA NA 260 411 126 0 NA NA NA NA 1372 2283 354 1768 NA NA NA NA 1686 2899 615 2080 NA NA NA
1532595600.0 10071.0 NA 171 280 74 0 NA NA NA NA 247 409 116 0 NA NA NA NA 1234 1756 338 1747 NA NA NA NA 1925 2558 644 2186 NA NA NA
1532595600.0 101.0 84 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 865 NA NA NA NA NA NA NA 1090 NA NA NA NA NA NA NA
1532595600.0 1010.0 NA 28 34 0 NA NA NA NA NA 69 81 0 NA NA NA NA NA 238 215 209 NA NA NA NA NA 865 457 453 NA NA NA NA
1532595600.0 102.0 82 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 693 NA NA NA NA NA NA NA 996 NA NA NA NA NA NA NA
1532595600.0 1020.0 NA 43 NA NA NA NA NA NA NA 102 NA NA NA NA NA NA NA 413 NA NA NA NA NA NA NA 939 NA NA NA NA NA NA
1532595600.0 10224.0 NA 250 399 0 NA NA NA NA NA 338 519 0 NA NA NA NA NA 3454 3872 1767 NA NA NA NA NA 4377 4905 2264 NA NA NA NA
1532595600.0 10225.0 NA 260 405 0 NA NA NA NA NA 345 531 0 NA NA NA NA NA 3574 3840 1759 NA NA NA NA NA 4724 4904 2064 NA NA NA NA
1532595600.0 103.0 43 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 381 126 1016 NA NA NA NA NA 769 335 1581 NA NA NA NA NA
1532595600.0 1030.0 NA 141 44 0 NA NA NA NA NA 232 80 0 NA NA NA NA NA 13186 307 94 NA NA NA NA NA 14857 570 268 NA NA NA NA
1532595600.0 10424.0 NA 184 319 0 NA NA NA NA NA 255 410 0 NA NA NA NA NA 1240 1746 1746 NA NA NA NA NA 1795 2382 2193 NA NA NA NA
1532595600.0 105.0 61 68 29 NA NA NA NA NA 114 136 62 NA NA NA NA NA 1341 375 94 NA NA NA NA NA 1561 890 279 NA NA NA NA NA
1532595600.0 106.0 43 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 363 127 1022 NA NA NA NA NA 558 313 1612 NA NA NA NA NA
1532595600.0 107.0 60 73 217 NA NA NA NA NA 115 136 296 NA NA NA NA NA 2322 361 1273 NA NA NA NA NA 2737 551 1857 NA NA NA NA NA
1532595600.0 108.0 62 74 221 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3531 468 1364 NA NA NA NA NA 4186 954 1884 NA NA NA NA NA
1532595600.0 10823.0 53 173 293 79 0 NA NA NA 99 229 408 114 0 NA NA NA 711 1095 1648 343 1713 NA NA NA 899 1583 2748 618 2197 NA NA NA
1532595600.0 10824.0 56 170 313 93 0 NA NA NA 103 239 409 128 0 NA NA NA 3343 1286 1773 350 1759 NA NA NA 3710 1801 2315 576 2073 NA NA NA
1532595600.0 10825.0 54 166 304 78 0 NA NA NA 102 236 409 115 0 NA NA NA 2644 1219 1703 329 1758 NA NA NA 3004 1841 2312 532 2084 NA NA NA
1532595600.0 10826.0 62 167 313 93 0 NA NA NA 105 241 409 126 0 NA NA NA 5637 1361 2031 451 1750 NA NA NA 6914 1897 2383 965 2186 NA NA NA
1532595600.0 10842.0 54 177 297 92 0 NA NA NA 101 232 409 128 0 NA NA NA 1026 1048 1701 358 1727 NA NA NA 1668 1473 2824 606 2036 NA NA NA
1532595600.0 109.0 63 73 222 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3382 387 1367 NA NA NA NA NA 4236 617 1912 NA NA NA NA NA
1532595600.0 11.0 NA 88 234 0 60 NA NA NA NA 144 318 0 99 NA NA NA NA 1605 1329 557 201 NA NA NA NA 2011 1854 951 453 NA NA NA
1532595600.0 110.0 50 67 215 NA NA NA NA NA 95 136 292 NA NA NA NA NA 463 365 1201 NA NA NA NA NA 647 752 1779 NA NA NA NA NA
1532595600.0 1102.0 NA 97 231 125 79 NA NA NA NA 152 313 182 157 NA NA NA NA 3536 5292 2200 415 NA NA NA NA 5184 5942 2614 669 NA NA NA
1532595600.0 111.0 62 70 218 NA NA NA NA NA 115 136 296 NA NA NA NA NA 1381 314 1215 NA NA NA NA NA 1706 577 1841 NA NA NA NA NA
1532595600.0 112.0 59 74 215 NA NA NA NA NA 115 136 295 NA NA NA NA NA 2492 362 1272 NA NA NA NA NA 2792 596 1864 NA NA NA NA NA
1532595600.0 11224.0 56 180 313 0 NA NA NA NA 103 238 409 0 NA NA NA NA 3326 1357 1775 1834 NA NA NA NA 3786 2296 2073 2276 NA NA NA NA
1532595600.0 113.0 63 79 219 NA NA NA NA NA 117 136 297 NA NA NA NA NA 3019 383 1303 NA NA NA NA NA 3370 633 1751 NA NA NA NA NA
1532595600.0 114.0 62 74 222 NA NA NA NA NA 116 136 297 NA NA NA NA NA 2754 380 1286 NA NA NA NA NA 3146 623 1866 NA NA NA NA NA
1532595600.0 115.0 63 73 218 NA NA NA NA NA 117 136 298 NA NA NA NA NA 2960 383 1317 NA NA NA NA NA 3301 738 1742 NA NA NA NA NA
1532595600.0 116.0 63 75 221 NA NA NA NA NA 116 136 297 NA NA NA NA NA 3166 373 1320 NA NA NA NA NA 3953 695 1898 NA NA NA NA NA
1532595600.0 11623.0 59 154 313 78 0 NA NA NA 95 231 411 114 0 NA NA NA 631 1247 1729 343 1803 NA NA NA 847 1626 2297 577 2260 NA NA NA
1532595600.0 11624.0 59 180 316 85 0 NA NA NA 99 241 412 130 0 NA NA NA 3048 1357 1975 438 1868 NA NA NA 3902 1919 2338 754 2029 NA NA NA
1532595600.0 11625.0 53 177 314 73 0 NA NA NA 97 238 412 115 0 NA NA NA 2188 1303 1911 355 1821 NA NA NA 2645 1572 2452 670 1943 NA NA NA
