Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533459600.0 1.0 64 78 151 NA NA 114 136 233 NA NA 1494 399 968 NA NA 1708 668 1378 NA NA
1533459600.0 1010.0 NA 23 34 0 NA NA 69 81 0 NA NA 102 143 156 NA NA 455 341 309 NA
1533459600.0 1020.0 NA 39 NA NA NA NA 102 NA NA NA NA 223 NA NA NA NA 442 NA NA NA
1533459600.0 1030.0 NA 135 40 0 NA NA 242 80 0 NA NA 8395 212 63 NA NA 9101 359 183 NA
1533459600.0 127.0 57 77 222 NA NA 102 136 292 NA NA 771 325 1118 NA NA 1013 577 1624 NA NA
1533459600.0 1301.0 62 80 161 NA NA 106 145 251 NA NA 704 415 1099 NA NA 928 818 1663 NA NA
1533459600.0 1302.0 61 81 172 NA NA 110 145 254 NA NA 3338 469 1197 NA NA 3811 800 1725 NA NA
1533459600.0 1303.0 63 86 179 NA NA 111 145 256 NA NA 5403 362 1349 NA NA 5958 809 1797 NA NA
1533459600.0 1307.0 NA 78 118 46 0 NA 151 193 80 0 NA 396 523 142 230 NA 1209 988 503 642
1533459600.0 1308.0 NA 81 116 42 0 NA 151 191 79 0 NA 381 433 136 234 NA 790 808 372 389
1533459600.0 1325.5 NA 141 0 NA NA NA 206 0 NA NA NA 2533 136 NA NA NA 3140 418 NA NA
1533459600.0 1325.51 NA 130 0 NA NA NA 193 0 NA NA NA 1354 138 NA NA NA 1952 537 NA NA
1533459600.0 1325.6 NA 103 NA NA NA NA 173 NA NA NA NA 1963 NA NA NA NA 2253 NA NA NA
1533459600.0 1325.7 NA 104 0 NA NA NA 170 0 NA NA NA 2035 127 NA NA NA 4428 287 NA NA
1533459600.0 1325.8 NA 105 0 NA NA NA 170 0 NA NA NA 1999 125 NA NA NA 2551 424 NA NA
1533459600.0 1325.9 NA 98 0 NA NA NA 162 0 NA NA NA 1646 126 NA NA NA 2053 527 NA NA
1533459600.0 135.8 82 NA NA NA NA 143 NA NA NA NA 301 NA NA NA NA 576 NA NA NA NA
1533459600.0 136.733 NA 129 70 0 NA NA 212 106 0 NA NA 841 220 245 NA NA 1540 423 488 NA
1533459600.0 136.7611 NA 143 0 NA NA NA 212 0 NA NA NA 3113 137 NA NA NA 3774 282 NA NA
1533459600.0 136.7721 NA 140 0 NA NA NA 208 0 NA NA NA 2782 130 NA NA NA 3454 269 NA NA
1533459600.0 136.7801 NA 88 0 NA NA NA 144 0 NA NA NA 357 187 NA NA NA 725 369 NA NA
1533459600.0 140.53 NA 221 0 NA NA NA 306 0 NA NA NA 3344 301 NA NA NA 3891 716 NA NA
1533459600.0 5.2 175 0 NA NA NA 240 0 NA NA NA 905 255 NA NA NA 1299 511 NA NA NA
1533459600.0 5.3 179 0 NA NA NA 240 0 NA NA NA 898 252 NA NA NA 1317 500 NA NA NA
1533459600.0 504.0 39 0 NA NA NA 71 0 NA NA NA 169 122 NA NA NA 390 292 NA NA NA
1533459600.0 530.0 16 39 0 NA NA 135 74 0 NA NA 2599 178 124 NA NA 3098 548 373 NA NA
1533459600.0 541.0 42 0 NA NA NA 82 0 NA NA NA 182 119 NA NA NA 350 560 NA NA NA
1533459600.0 545.0 42 0 NA NA NA 82 0 NA NA NA 187 124 NA NA NA 428 360 NA NA NA
1533459600.0 551.0 16 37 0 NA NA 135 74 0 NA NA 1047 172 120 NA NA 1227 334 370 NA NA
1533459600.0 552.0 16 40 0 NA NA 135 74 0 NA NA 1842 179 122 NA NA 2228 406 372 NA NA
1533459600.0 554.0 16 36 0 NA NA 135 73 0 NA NA 2851 173 115 NA NA 3012 344 413 NA NA
1533459600.0 555.0 16 37 0 NA NA 135 74 0 NA NA 1230 154 118 NA NA 2090 311 393 NA NA
1533459600.0 556.0 21 38 0 NA NA 135 73 0 NA NA 446 181 121 NA NA 808 398 423 NA NA
1533459600.0 560.0 33 0 NA NA NA 71 0 NA NA NA 167 115 NA NA NA 403 330 NA NA NA
1533459600.0 561.0 36 0 NA NA NA 71 0 NA NA NA 167 118 NA NA NA 336 442 NA NA NA
1533459600.0 562.0 16 37 0 NA NA 135 74 0 NA NA 307 179 119 NA NA 551 380 356 NA NA
