Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532210400.0 1.0 60 70 158 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1395 384 891 NA NA NA NA NA 1629 568 1235 NA NA NA NA NA
1532210400.0 10.0 NA 105 232 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2107 2857 510 NA NA NA NA NA 2396 3307 677 NA NA NA NA
1532210400.0 1000.0 NA 230 156 0 46 NA NA NA NA 319 245 0 85 NA NA NA NA 2546 1155 956 384 NA NA NA NA 3171 1532 1418 623 NA NA NA
1532210400.0 10001.0 NA 173 302 82 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1369 1961 428 2105 NA NA NA NA 1935 2475 647 2599 NA NA NA
1532210400.0 10002.0 NA 156 307 82 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1436 1990 423 2059 NA NA NA NA 2348 2390 717 2420 NA NA NA
1532210400.0 10003.0 NA 176 298 78 0 NA NA NA NA 241 408 115 0 NA NA NA NA 1408 2010 422 2070 NA NA NA NA 1946 2768 658 2462 NA NA NA
1532210400.0 10004.0 NA 173 305 83 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1360 1965 418 2038 NA NA NA NA 1861 2563 725 2463 NA NA NA
1532210400.0 10005.0 NA 154 307 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1393 2004 427 2072 NA NA NA NA 1952 2490 686 2413 NA NA NA
1532210400.0 10006.0 NA 154 305 82 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1373 1962 425 2097 NA NA NA NA 2198 2648 714 2444 NA NA NA
1532210400.0 10007.0 NA 155 302 92 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1451 2049 453 2082 NA NA NA NA 2342 2712 782 2356 NA NA NA
1532210400.0 10008.0 NA 156 299 83 0 NA NA NA NA 239 408 127 0 NA NA NA NA 1442 2026 462 2089 NA NA NA NA 2125 2793 733 2445 NA NA NA
1532210400.0 10009.0 NA 156 302 90 0 NA NA NA NA 240 408 127 0 NA NA NA NA 1498 2037 472 2087 NA NA NA NA 2040 2583 812 2310 NA NA NA
1532210400.0 1001.0 NA 210 110 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 2109 416 92 142 373 191 330 NA 2609 699 308 339 641 449 459
1532210400.0 1002.0 NA 236 68 NA NA NA NA NA NA 311 118 NA NA NA NA NA NA 2672 466 NA NA NA NA NA NA 3247 649 NA NA NA NA NA
1532210400.0 10023.0 NA 175 300 81 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1128 1552 315 1803 NA NA NA NA 1416 2192 549 2090 NA NA NA
1532210400.0 10024.0 NA 185 321 85 0 NA NA NA NA 255 411 130 0 NA NA NA NA 1319 1850 355 1826 NA NA NA NA 1726 2537 577 1974 NA NA NA
1532210400.0 10024.1 NA 183 161 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1375 735 308 NA NA NA NA NA 2121 1113 474 NA NA NA NA
1532210400.0 10024.2 NA 179 315 0 NA NA NA NA NA 254 409 0 NA NA NA NA NA 1299 1825 1804 NA NA NA NA NA 1565 2459 1984 NA NA NA NA
1532210400.0 10024.3 NA 183 155 0 NA NA NA NA NA 254 205 0 NA NA NA NA NA 1291 739 271 NA NA NA NA NA 1779 1170 640 NA NA NA NA
1532210400.0 10024.4 NA 186 309 0 NA NA NA NA NA 254 411 0 NA NA NA NA NA 1277 1823 1843 NA NA NA NA NA 1586 2278 1972 NA NA NA NA
1532210400.0 10024.5 NA 185 162 0 NA NA NA NA NA 255 211 0 NA NA NA NA NA 1352 734 305 NA NA NA NA NA 1762 1281 431 NA NA NA NA
1532210400.0 10024.6 NA 187 305 0 NA NA NA NA NA 255 408 0 NA NA NA NA NA 1280 1800 1794 NA NA NA NA NA 1699 2213 2065 NA NA NA NA
1532210400.0 10025.0 NA 179 310 83 0 NA NA NA NA 246 409 115 0 NA NA NA NA 1189 1645 346 1840 NA NA NA NA 1517 2269 609 2252 NA NA NA
1532210400.0 10026.0 NA 184 319 91 0 NA NA NA NA 257 411 126 0 NA NA NA NA 1346 1956 349 1834 NA NA NA NA 2049 2582 572 2228 NA NA NA
1532210400.0 1003.0 NA 200 0 NA NA NA NA NA NA 264 0 NA NA NA NA NA NA 2900 782 NA NA NA NA NA NA 3508 1386 NA NA NA NA NA
1532210400.0 1004.0 NA 174 103 0 0 0 0 NA NA 236 137 0 0 0 0 NA NA 1027 382 94 134 307 290 NA NA 1752 653 227 313 471 609 NA
1532210400.0 10042.0 NA 167 307 90 0 NA NA NA NA 246 409 129 0 NA NA NA NA 1225 1658 360 1826 NA NA NA NA 1869 2056 594 1964 NA NA NA
1532210400.0 10059.0 NA 176 322 83 0 NA NA NA NA 260 411 126 0 NA NA NA NA 1446 2333 357 1846 NA NA NA NA 1777 2753 577 2245 NA NA NA
1532210400.0 10071.0 NA 181 314 79 0 NA NA NA NA 247 409 116 0 NA NA NA NA 1210 1789 324 1858 NA NA NA NA 1490 2446 535 2126 NA NA NA
1532210400.0 101.0 81 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 923 NA NA NA NA NA NA NA 1230 NA NA NA NA NA NA NA
1532210400.0 1010.0 NA 22 36 0 NA NA NA NA NA 69 81 0 NA NA NA NA NA 142 186 195 NA NA NA NA NA 483 358 376 NA NA NA NA
1532210400.0 102.0 83 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 737 NA NA NA NA NA NA NA 1050 NA NA NA NA NA NA NA
1532210400.0 1020.0 NA 35 NA NA NA NA NA NA NA 102 NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA
1532210400.0 10224.0 NA 247 397 0 NA NA NA NA NA 336 513 0 NA NA NA NA NA 3576 3983 1882 NA NA NA NA NA 4559 5068 2149 NA NA NA NA
1532210400.0 10225.0 NA 260 405 0 NA NA NA NA NA 343 531 0 NA NA NA NA NA 3636 3906 1839 NA NA NA NA NA 4500 4981 2120 NA NA NA NA
1532210400.0 103.0 44 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 379 126 1034 NA NA NA NA NA 561 392 1311 NA NA NA NA NA
1532210400.0 1030.0 NA 136 46 0 NA NA NA NA NA 236 80 0 NA NA NA NA NA 12388 278 83 NA NA NA NA NA 13711 455 246 NA NA NA NA
1532210400.0 10424.0 NA 184 312 0 NA NA NA NA NA 255 410 0 NA NA NA NA NA 1267 1806 1849 NA NA NA NA NA 1704 2426 2143 NA NA NA NA
1532210400.0 105.0 61 73 29 NA NA NA NA NA 114 136 62 NA NA NA NA NA 1373 361 89 NA NA NA NA NA 1692 685 246 NA NA NA NA NA
1532210400.0 106.0 43 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 380 125 1048 NA NA NA NA NA 601 346 1620 NA NA NA NA NA
1532210400.0 107.0 62 73 228 NA NA NA NA NA 115 136 296 NA NA NA NA NA 2389 382 1297 NA NA NA NA NA 2707 738 1838 NA NA NA NA NA
1532210400.0 108.0 63 75 226 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3672 407 1393 NA NA NA NA NA 4149 690 1903 NA NA NA NA NA
1532210400.0 10823.0 57 177 305 73 0 NA NA NA 99 229 408 114 0 NA NA NA 738 1124 1519 348 1829 NA NA NA 960 1585 1881 683 2092 NA NA NA
1532210400.0 10824.0 56 178 308 88 0 NA NA NA 103 239 409 128 0 NA NA NA 3457 1322 1807 356 1848 NA NA NA 4110 1802 2348 513 2111 NA NA NA
1532210400.0 10825.0 54 163 306 73 0 NA NA NA 101 236 409 115 0 NA NA NA 2678 1243 1714 328 1837 NA NA NA 2954 1495 2322 572 2079 NA NA NA
1532210400.0 10826.0 60 176 314 88 0 NA NA NA 105 241 409 126 0 NA NA NA 5829 1342 2047 355 1846 NA NA NA 6500 1808 2453 512 2005 NA NA NA
1532210400.0 10842.0 54 161 314 91 0 NA NA NA 101 232 409 128 0 NA NA NA 1059 1089 1524 367 1838 NA NA NA 1298 1476 2233 630 1970 NA NA NA
1532210400.0 109.0 63 75 221 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3437 416 1378 NA NA NA NA NA 3728 716 1844 NA NA NA NA NA
1532210400.0 11.0 NA 88 241 0 64 NA NA NA NA 144 318 0 99 NA NA NA NA 1672 1383 560 198 NA NA NA NA 2088 1761 708 405 NA NA NA
1532210400.0 110.0 52 74 216 NA NA NA NA NA 95 136 292 NA NA NA NA NA 476 358 1204 NA NA NA NA NA 693 628 1687 NA NA NA NA NA
1532210400.0 1102.0 NA 96 232 122 72 NA NA NA NA 151 313 182 157 NA NA NA NA 3229 3975 1519 436 NA NA NA NA 4263 4572 1840 600 NA NA NA
1532210400.0 111.0 63 74 219 NA NA NA NA NA 115 136 296 NA NA NA NA NA 1445 294 1227 NA NA NA NA NA 1724 531 1716 NA NA NA NA NA
1532210400.0 112.0 58 75 218 NA NA NA NA NA 115 136 295 NA NA NA NA NA 2601 377 1262 NA NA NA NA NA 2859 683 1885 NA NA NA NA NA
1532210400.0 11224.0 55 178 307 0 NA NA NA NA 103 238 409 0 NA NA NA NA 3404 1283 1827 1973 NA NA NA NA 3781 1719 2435 2220 NA NA NA NA
1532210400.0 113.0 64 76 219 NA NA NA NA NA 117 136 297 NA NA NA NA NA 3118 382 1322 NA NA NA NA NA 3406 623 1673 NA NA NA NA NA
1532210400.0 114.0 64 79 220 NA NA NA NA NA 116 136 297 NA NA NA NA NA 2874 383 1302 NA NA NA NA NA 3141 668 1683 NA NA NA NA NA
1532210400.0 115.0 63 75 229 NA NA NA NA NA 117 136 298 NA NA NA NA NA 3071 391 1351 NA NA NA NA NA 3412 600 1884 NA NA NA NA NA
1532210400.0 116.0 62 74 222 NA NA NA NA NA 116 136 297 NA NA NA NA NA 3203 388 1329 NA NA NA NA NA 3535 675 1758 NA NA NA NA NA
1532210400.0 11623.0 52 160 310 72 0 NA NA NA 95 231 411 114 0 NA NA NA 667 1275 1733 386 1918 NA NA NA 853 1748 2234 765 2338 NA NA NA
1532210400.0 11624.0 54 183 316 84 0 NA NA NA 99 241 412 130 0 NA NA NA 3166 1413 2032 441 1934 NA NA NA 3554 1689 2700 638 2324 NA NA NA
1532210400.0 11625.0 61 176 313 76 0 NA NA NA 97 237 412 115 0 NA NA NA 2224 1340 1910 364 1913 NA NA NA 2511 1984 2682 662 2215 NA NA NA
1532210400.0 11626.0 58 183 311 78 0 NA NA NA 101 249 413 116 0 NA NA NA 5617 1680 2303 355 1947 NA NA NA 6297 2227 2697 544 2190 NA NA NA
1532210400.0 11642.0 57 162 313 85 0 NA NA NA 97 234 412 129 0 NA NA NA 958 1220 1691 499 1883 NA NA NA 1156 1707 2495 929 2171 NA NA NA
1532210400.0 117.0 63 80 221 NA NA NA NA NA 116 136 298 NA NA NA NA NA 3872 389 1378 NA NA NA NA NA 4456 745 1895 NA NA NA NA NA
1532210400.0 118.0 67 76 224 NA NA NA NA NA 117 136 299 NA NA NA NA NA 4527 486 1878 NA NA NA NA NA 5718 801 2570 NA NA NA NA NA
1532210400.0 119.0 61 80 218 NA NA NA NA NA 115 136 295 NA NA NA NA NA 2652 476 1736 NA NA NA NA NA 3042 745 2609 NA NA NA NA NA
1532210400.0 12.0 NA 101 233 0 NA NA NA NA NA 152 315 0 NA NA NA NA NA 2003 2782 534 NA NA NA NA NA 2368 3169 811 NA NA NA NA
1532210400.0 120.0 51 77 216 NA NA NA NA NA 101 136 292 NA NA NA NA NA 542 402 1617 NA NA NA NA NA 806 776 2494 NA NA NA NA NA
1532210400.0 12024.0 54 176 311 0 NA NA NA NA 99 241 412 0 NA NA NA NA 3097 1411 2041 1931 NA NA NA NA 3536 2021 2648 2078 NA NA NA NA
1532210400.0 121.0 64 76 222 NA NA NA NA NA 117 136 298 NA NA NA NA NA 4669 490 1896 NA NA NA NA NA 5589 796 2556 NA NA NA NA NA
1532210400.0 122.0 57 72 214 NA NA NA NA NA 108 136 292 NA NA NA NA NA 722 383 1617 NA NA NA NA NA 990 908 2425 NA NA NA NA NA
1532210400.0 123.1 193 NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA 1305 NA NA NA NA NA NA NA 1830 NA NA NA NA NA NA NA
1532210400.0 123.2 194 NA NA NA NA NA NA NA 269 NA NA NA NA NA NA NA 1393 NA NA NA NA NA NA NA 2094 NA NA NA NA NA NA NA
1532210400.0 123.3 167 NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA 1617 NA NA NA NA NA NA NA
1532210400.0 124.1 183 NA NA NA NA NA NA NA 253 NA NA NA NA NA NA NA 1095 NA NA NA NA NA NA NA 1618 NA NA NA NA NA NA NA
1532210400.0 124.2 193 NA NA NA NA NA NA NA 266 NA NA NA NA NA NA NA 1274 NA NA NA NA NA NA NA 1750 NA NA NA NA NA NA NA
1532210400.0 124.4 187 NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA 1117 NA NA NA NA NA NA NA 1721 NA NA NA NA NA NA NA
1532210400.0 124.5 187 NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA 1171 NA NA NA NA NA NA NA 1608 NA NA NA NA NA NA NA
1532210400.0 124.6 171 NA NA NA NA NA NA NA 240 NA NA NA NA NA NA NA 1155 NA NA NA NA NA NA NA 1614 NA NA NA NA NA NA NA
1532210400.0 125.0 62 80 218 NA NA NA NA NA 115 136 295 NA NA NA NA NA 3039 466 1756 NA NA NA NA NA 3460 848 2407 NA NA NA NA NA
1532210400.0 126.0 50 73 217 NA NA NA NA NA 103 136 292 NA NA NA NA NA 1175 413 1674 NA NA NA NA NA 1547 665 2359 NA NA NA NA NA
1532210400.0 127.0 51 71 214 NA NA NA NA NA 102 136 292 NA NA NA NA NA 1072 413 1681 NA NA NA NA NA 1384 733 2258 NA NA NA NA NA
1532210400.0 128.0 50 79 214 NA NA NA NA NA 94 136 291 NA NA NA NA NA 505 449 1654 NA NA NA NA NA 787 761 2163 NA NA NA NA NA
1532210400.0 129.0 50 71 211 NA NA NA NA NA 94 136 291 NA NA NA NA NA 520 425 1711 NA NA NA NA NA 932 738 2583 NA NA NA NA NA
1532210400.0 13.0 NA 86 224 0 NA NA NA NA NA 144 301 0 NA NA NA NA NA 317 1662 479 NA NA NA NA NA 603 2248 820 NA NA NA NA
1532210400.0 130.0 51 78 216 NA NA NA NA NA 102 136 292 NA NA NA NA NA 622 405 1624 NA NA NA NA NA 895 620 2252 NA NA NA NA NA
1532210400.0 1301.0 57 92 174 NA NA NA NA NA 106 145 251 NA NA NA NA NA 984 487 1228 NA NA NA NA NA 1666 859 1627 NA NA NA NA NA
1532210400.0 1302.0 60 88 168 NA NA NA NA NA 110 145 254 NA NA NA NA NA 4939 647 1261 NA NA NA NA NA 5562 1208 2204 NA NA NA NA NA
1532210400.0 1303.0 62 82 169 NA NA NA NA NA 111 145 256 NA NA NA NA NA 7914 497 1911 NA NA NA NA NA 8834 961 3118 NA NA NA NA NA
1532210400.0 1306.0 NA 88 250 0 NA NA NA NA NA 153 331 0 NA NA NA NA NA 507 1611 1012 NA NA NA NA NA 1136 2324 1577 NA NA NA NA
1532210400.0 1307.0 NA 84 128 43 0 NA NA NA NA 151 193 80 0 NA NA NA NA 513 586 177 273 NA NA NA NA 1133 1190 401 524 NA NA NA
1532210400.0 1308.0 NA 83 125 44 0 NA NA NA NA 151 191 79 0 NA NA NA NA 490 489 174 257 NA NA NA NA 810 953 308 667 NA NA NA
1532210400.0 1309.0 NA 96 264 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 608 1628 1042 NA NA NA NA NA 876 2249 1445 NA NA NA NA
1532210400.0 131.0 54 73 217 NA NA NA NA NA 104 136 293 NA NA NA NA NA 1242 430 1645 NA NA NA NA NA 1520 677 2336 NA NA NA NA NA
1532210400.0 1310.0 NA 91 261 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 576 1498 1052 NA NA NA NA NA 865 2006 1359 NA NA NA NA
1532210400.0 1311.0 NA 85 231 0 58 NA NA NA NA 153 309 0 99 NA NA NA NA 510 1215 865 325 NA NA NA NA 878 1959 1311 601 NA NA NA
1532210400.0 1312.0 NA 91 268 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 598 1620 1032 NA NA NA NA NA 1117 2054 1443 NA NA NA NA
1532210400.0 1313.0 NA 99 257 0 NA NA NA NA NA 153 341 0 NA NA NA NA NA 543 1805 1010 NA NA NA NA NA 875 2709 1540 NA NA NA NA
1532210400.0 1314.0 NA 91 259 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 559 1687 1015 NA NA NA NA NA 1065 2146 1467 NA NA NA NA
1532210400.0 1315.0 NA 82 263 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 510 2031 1001 NA NA NA NA NA 954 2702 1524 NA NA NA NA
1532210400.0 1316.0 NA 86 262 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 568 1719 1006 NA NA NA NA NA 1226 2131 1499 NA NA NA NA
1532210400.0 1317.0 NA 84 257 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 492 2088 1018 NA NA NA NA NA 741 3063 1580 NA NA NA NA
1532210400.0 1318.0 NA 83 262 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 489 1781 1029 NA NA NA NA NA 774 2565 1521 NA NA NA NA
1532210400.0 1319.0 NA 85 259 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 479 1860 989 NA NA NA NA NA 911 2714 1410 NA NA NA NA
1532210400.0 132.0 63 80 224 NA NA NA NA NA 113 136 301 NA NA NA NA NA 3561 486 1792 NA NA NA NA NA 4463 897 2554 NA NA NA NA NA
1532210400.0 1320.0 NA 88 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 534 1908 1027 NA NA NA NA NA 818 2667 1506 NA NA NA NA
1532210400.0 1321.0 NA 88 261 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 514 1922 1018 NA NA NA NA NA 932 2817 1579 NA NA NA NA
1532210400.0 1322.0 NA 86 254 0 NA NA NA NA NA 153 333 0 NA NA NA NA NA 517 2203 1016 NA NA NA NA NA 870 3097 1375 NA NA NA NA
1532210400.0 1323.0 NA 85 250 0 NA NA NA NA NA 153 329 0 NA NA NA NA NA 501 1701 1041 NA NA NA NA NA 912 2360 1359 NA NA NA NA
1532210400.0 1324.0 NA 93 268 0 NA NA NA NA NA 153 338 0 NA NA NA NA NA 603 1722 959 NA NA NA NA NA 845 2218 1485 NA NA NA NA
1532210400.0 1325.0 NA 88 265 0 64 NA NA NA NA 153 341 0 106 NA NA NA NA 674 1716 860 412 NA NA NA NA 1075 2054 1377 938 NA NA NA
1532210400.0 1325.1 NA 98 133 0 NA NA NA NA NA 153 183 0 NA NA NA NA NA 532 789 423 NA NA NA NA NA 900 1539 619 NA NA NA NA
1532210400.0 1325.2 NA 94 259 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 626 1710 1037 NA NA NA NA NA 1056 2625 1344 NA NA NA NA
1532210400.0 1325.3 NA 95 134 0 NA NA NA NA NA 153 178 0 NA NA NA NA NA 618 775 314 NA NA NA NA NA 995 1476 614 NA NA NA NA
1532210400.0 1325.4 NA 89 272 0 NA NA NA NA NA 153 341 0 NA NA NA NA NA 659 1651 1031 NA NA NA NA NA 1263 2276 1342 NA NA NA NA
1532210400.0 1325.5 NA 141 0 NA NA NA NA NA NA 206 0 NA NA NA NA NA NA 3311 216 NA NA NA NA NA NA 4029 692 NA NA NA NA NA
1532210400.0 1325.51 NA 133 0 NA NA NA NA NA NA 193 0 NA NA NA NA NA NA 1460 149 NA NA NA NA NA NA 1943 470 NA NA NA NA NA
1532210400.0 1325.6 NA 113 NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA 2311 NA NA NA NA NA NA NA 2641 NA NA NA NA NA NA
1532210400.0 1325.7 NA 107 0 NA NA NA NA NA NA 170 0 NA NA NA NA NA NA 2915 150 NA NA NA NA NA NA 5419 392 NA NA NA NA NA
1532210400.0 1325.8 NA 112 0 NA NA NA NA NA NA 170 0 NA NA NA NA NA NA 2437 142 NA NA NA NA NA NA 2832 373 NA NA NA NA NA
1532210400.0 1325.9 NA 100 0 NA NA NA NA NA NA 162 0 NA NA NA NA NA NA 1852 157 NA NA NA NA NA NA 2165 572 NA NA NA NA NA
1532210400.0 1326.0 NA 99 256 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 559 2004 1019 NA NA NA NA NA 811 2711 1463 NA NA NA NA
1532210400.0 1327.0 NA 90 257 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 534 2255 1045 NA NA NA NA NA 958 3128 1433 NA NA NA NA
1532210400.0 1328.0 NA 96 264 0 NA NA NA NA NA 153 338 0 NA NA NA NA NA 513 1900 797 NA NA NA NA NA 952 2694 1254 NA NA NA NA
1532210400.0 1329.0 NA 85 264 0 NA NA NA NA NA 153 335 0 NA NA NA NA NA 494 1821 815 NA NA NA NA NA 962 2334 1096 NA NA NA NA
1532210400.0 1329.1 NA 120 0 NA NA NA NA NA NA 184 0 NA NA NA NA NA NA 2137 145 NA NA NA NA NA NA 2636 509 NA NA NA NA NA
1532210400.0 133.0 65 80 225 NA NA NA NA NA 118 136 300 NA NA NA NA NA 5443 484 2005 NA NA NA NA NA 6525 693 2679 NA NA NA NA NA
1532210400.0 1330.0 NA 93 259 0 NA NA NA NA NA 153 337 0 NA NA NA NA NA 472 1771 779 NA NA NA NA NA 739 2391 1212 NA NA NA NA
1532210400.0 1331.0 NA 84 256 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 493 1736 762 NA NA NA NA NA 1131 2287 1252 NA NA NA NA
1532210400.0 1332.0 NA 90 265 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 512 1915 837 NA NA NA NA NA 904 2439 1103 NA NA NA NA
1532210400.0 1333.0 NA 97 257 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 471 1798 761 NA NA NA NA NA 921 2407 1199 NA NA NA NA
1532210400.0 1334.0 NA 97 259 0 NA NA NA NA NA 153 338 0 NA NA NA NA NA 498 1842 788 NA NA NA NA NA 911 2238 1141 NA NA NA NA
1532210400.0 1335.0 NA 90 255 0 NA NA NA NA NA 153 336 0 NA NA NA NA NA 500 1839 745 NA NA NA NA NA 900 2623 1064 NA NA NA NA
1532210400.0 1336.0 NA 96 259 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 602 2293 780 NA NA NA NA NA 1183 3023 1154 NA NA NA NA
1532210400.0 1337.0 NA 97 263 0 NA NA NA NA NA 153 343 0 NA NA NA NA NA 649 2281 811 NA NA NA NA NA 1177 2681 1018 NA NA NA NA
1532210400.0 1338.0 NA 100 271 0 NA NA NA NA NA 153 340 0 NA NA NA NA NA 545 1838 754 NA NA NA NA NA 796 2308 1238 NA NA NA NA
1532210400.0 1339.0 NA 88 261 0 NA NA NA NA NA 153 342 0 NA NA NA NA NA 555 2155 805 NA NA NA NA NA 1151 2901 998 NA NA NA NA
1532210400.0 134.0 NA 236 39 0 NA NA NA NA NA 311 74 0 NA NA NA NA NA 3372 161 85 NA NA NA NA NA 3893 340 235 NA NA NA NA
1532210400.0 134.701 NA 37 256 0 NA NA NA NA NA 80 331 0 NA NA NA NA NA 250 4926 829 NA NA NA NA NA 498 5567 1289 NA NA NA NA
1532210400.0 134.702 NA 33 246 0 NA NA NA NA NA 79 325 0 NA NA NA NA NA 258 6241 785 NA NA NA NA NA 440 6890 1232 NA NA NA NA
1532210400.0 134.703 NA 41 259 0 NA NA NA NA NA 84 335 0 NA NA NA NA NA 256 6313 836 NA NA NA NA NA 433 6829 1103 NA NA NA NA
1532210400.0 134.704 NA 31 248 0 NA NA NA NA NA 79 327 0 NA NA NA NA NA 248 6076 793 NA NA NA NA NA 524 6630 1187 NA NA NA NA
1532210400.0 134.705 NA 33 259 0 NA NA NA NA NA 82 334 0 NA NA NA NA NA 247 6457 830 NA NA NA NA NA 424 6990 1321 NA NA NA NA
1532210400.0 134.706 NA 32 255 0 NA NA NA NA NA 82 334 0 NA NA NA NA NA 263 6598 884 NA NA NA NA NA 543 7380 1176 NA NA NA NA
1532210400.0 134.707 NA 34 248 0 NA NA NA NA NA 81 327 0 NA NA NA NA NA 247 5846 809 NA NA NA NA NA 604 6496 1260 NA NA NA NA
1532210400.0 134.708 NA 38 247 0 NA NA NA NA NA 80 325 0 NA NA NA NA NA 252 5845 869 NA NA NA NA NA 592 6545 1266 NA NA NA NA
1532210400.0 134.709 NA 40 403 0 NA NA NA NA NA 82 509 0 NA NA NA NA NA 255 6232 817 NA NA NA NA NA 483 6762 1035 NA NA NA NA
1532210400.0 134.71 NA 27 249 0 NA NA NA NA NA 74 323 0 NA NA NA NA NA 244 4334 786 NA NA NA NA NA 595 4942 1213 NA NA NA NA
1532210400.0 134.801 NA 39 247 0 NA NA NA NA NA 81 326 0 NA NA NA NA NA 235 4579 837 NA NA NA NA NA 446 5270 1280 NA NA NA NA
1532210400.0 134.802 NA 37 251 0 NA NA NA NA NA 80 329 0 NA NA NA NA NA 252 8424 767 NA NA NA NA NA 534 10262 1221 NA NA NA NA
1532210400.0 134.803 NA 31 255 0 NA NA NA NA NA 85 329 0 NA NA NA NA NA 262 6809 791 NA NA NA NA NA 487 7588 986 NA NA NA NA
1532210400.0 134.804 NA 39 258 0 NA NA NA NA NA 83 338 0 NA NA NA NA NA 277 8003 810 NA NA NA NA NA 559 9037 1172 NA NA NA NA
