Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533805200.0 1003.0 NA 201 0 NA NA 263 0 NA NA 2658 433 NA NA 3461 851 NA
1533805200.0 1010.0 NA 29 33 0 NA 69 81 0 NA 92 137 137 NA 380 367 287
1533805200.0 1020.0 NA 38 NA NA NA 102 NA NA NA 207 NA NA NA 534 NA NA
1533805200.0 1030.0 NA 136 40 0 NA 236 80 0 NA 8099 211 63 NA 8859 409 215
1533805200.0 1325.7 NA 108 0 NA NA 170 0 NA NA 2035 121 NA NA 4444 396 NA
1533805200.0 135.8 85 NA NA NA 143 NA NA NA 288 NA NA NA 552 NA NA NA
1533805200.0 541.0 42 0 NA NA 82 0 NA NA 160 116 NA NA 355 345 NA NA
1533805200.0 545.0 41 0 NA NA 82 0 NA NA 171 118 NA NA 386 390 NA NA
1533805200.0 551.0 16 34 0 NA 135 74 0 NA 858 152 114 NA 1725 306 345 NA
1533805200.0 552.0 16 39 0 NA 135 74 0 NA 1578 157 114 NA 1791 318 248 NA
1533805200.0 554.0 16 37 0 NA 135 73 0 NA 2528 149 112 NA 2836 270 337 NA
1533805200.0 555.0 16 36 0 NA 135 74 0 NA 1080 157 108 NA 2044 377 286 NA
1533805200.0 556.0 23 32 0 NA 135 73 0 NA 406 165 117 NA 751 373 314 NA
1533805200.0 560.0 38 0 NA NA 71 0 NA NA 149 107 NA NA 365 250 NA NA
1533805200.0 561.0 35 0 NA NA 71 0 NA NA 152 107 NA NA 340 473 NA NA
1533805200.0 562.0 19 37 0 NA 135 74 0 NA 273 160 119 NA 595 322 337 NA
